Protein,p_ID
XRCC6,p000335
XRCC5,p000336
SON,p000337
PGAM1,p000338
RCC1,p000339
ANXA7,p000340
UBA1,p000341
TCEA1,p000342
MCM3,p000343
S100P,p000344
DNMT1,p000345
U2AF2,p000346
HMGB2,p000347
PTBP1,p000348
APEX1,p000349
TKT,p000350
PRDX6,p000351
PEBP1,p000352
CSTF2,p000353
MCM4,p000354
MCM5,p000355
MCM7,p000356
DEK,p000357
PGM1,p000358
COIL,p000359
FEN1,p000360
BUD31,p000361
MATR3,p000362
MSH2,p000363
NASP,p000364
MCM2,p000365
YLPM1,p000366
RBM25,p000367
HINT1,p000368
HDGF,p000369
NCBP2,p000370
MSH6,p000371
THOP1,p000372
MFAP1,p000373
ARF3,p000374
PSME3,p000375
RAN,p000376
GRB2,p000377
TRA2B,p000378
SKP1,p000379
RBM6,p000380
PRKDC,p000381
SARNP,p000382
ERH,p000383
SRp20,p000384
U2AF1,p000385
SET,p000386
SFRS2,p000387
CSTF1,p000388
SFRS1,p000389
SRSF4,p000390
DHX9,p000391
SSRP1,p000392
SAKI,p000393
NCBP1,p000394
CPSF1,p000395
SAP61,p000396
ILF2,p000397
ILF3,p000398
CSTF3,p000399
CBX3,p000400
SRSF9,p000401
SRSF5,p000402
SRSF6,p000403
PPIG,p000404
SF3B2,p000405
PIN1,p000406
SNW1,p000407
CUL4A,p000408
CIRBP,p000409
SAFB2,p000410
RBM39,p000411
HLTF,p000412
DHX8,p000413
MCM6,p000414
SMC1A,p000415
CHD4,p000416
IL18BP,p000417
SART3,p000418
RNPS1,p000419
SF3B3,p000420
SAP62,p000421
SAP114,p000422
DDB1,p000423
RBBP7,p000424
SFRS7,p000425
CPSF6,p000426
PDS5A,p000427
TSR1,p000428
SMU1,p000429
RBM26,p000430
CDC73,p000431
CTR9,p000432
WDR82,p000433
BZW1,p000434
RSRC2,p000435
RBBP6,p000436
CAND1,p000437
DDX42,p000438
CHERP,p000439
SUGP2,p000440
CCAR1,p000441
SRm160,p000442
CARF,p000443
CPSF7,p000444
PAF1,p000445
DDX1,p000446
SYMPK,p000447
RAD50,p000448
CELF1,p000449
GPKOW,p000450
TNPO1,p000451
FUBP3,p000452
RBM14,p000453
QKI,p000454
RBM15,p000455
PNKP,p000456
CDC5L,p000457
DDX23,p000458
RBM4,p000459
SRRT,p000460
SETD2,p000461
WDR33,p000462
XRN2,p000463
DDX47,p000464
PHAX,p000465
XPO5,p000466
NCOA5,p000467
LUC7L,p000468
DDX21,p000469
MBNL1,p000470
RBM12,p000471
MDN1,p000472
FANCI,p000473
RBM22,p000474
WDR70,p000475
SLTM,p000476
CWC15,p000477
RCC2,p000478
BCCIP,p000479
NXF1,p000480
DDX20,p000481
PUF60,p000482
DDX41,p000483
SRRM2,p000484
PA2G4,p000485
SMC3,p000486
WBP11,p000487
NOSIP,p000488
PPIL1,p000489
RTCB,p000490
CRIP2,p000491
GCFC1,p000492
1433T,p000493
ARGL1,p000494
C19L2,p000495
C9orf78,p000496
CSK22,p000497
CSK2B,p000498
CT043,p000499
DJC17,p000500
DNLI3,p000501
EZR,p000502
FBL,p000503
FKB1A,p000504
HTSF1,p000505
KIAA0947,p000506
MDHC,p000507
NADAP,p000508
NHP2L1,p000509
PAPS2,p000510
PCNP,p000511
PRP17,p000512
SNRPB2,p000513
SMNDC1,p000514
SRP09,p000515
TR112,p000516
TRIM33,p000517
NOP56,p000518
PDCD5,p000519
PPM1G,p000520
TBCA,p000521
IPO7,p000522
SYF2,p000523
MIF,p000524
CBR1,p000525
RFC4,p000526
RFC5,p000527
Lsm3,p000528
Lsm6,p000529
TOP2B,p000530
ATM,p000531
PPIL2,p000532
NOLC1,p000533
SAP49,p000534
PHF5A,p000535
PPIL4,p000536
PRCC,p000537
PPWD1,p000538
TOE1,p000539
ZMAT2,p000540
PUS7,p000541
TGS1,p000542
MCMBP,p000543
SF3B5,p000544
CWC22,p000545
NOP10,p000546
SMC4,p000547
NUDT5,p000548
ISY1,p000549
PPIE,p000550
NOP58,p000551
LSM4,p000552
MPP10,p000553
U3-55K,p000554
PRPF8,p000555
LSM1,p000556
LSM8,p000557
LSM7,p000558
LSM2,p000559
LSM5,p000560
LSM11,p000561
LSM10,p000562
GAR1,p000563
hPSF,p000564
GAGE6,p000565
Oct1,p000566
IGF2BP2,p000567
IGR2,p000568
CDKN1C,p000569
H2AFX,p000570
CDKN1A,p000571
BCL2,p000572
BBC3,p000573
BAX,p000574
AR,p000575
STAT1,p000576
IMP3,p000577
IMP1,p000578
ZBP1,p000579
DLK1,p000580
CASP8,p000581
CASP3,p000582
BCL2L1,p000583
HIF1A,p000584
TIE1,p000585
TP53,p000586
EHMT2,p000587
MYCN,p000588
PINK1,p000589
CREB1,p000590
AKT1,p000591
PMEPA1,p000592
NDRG1,p000593
KLK3,p000594
FGF8,p000595
BRCA1,p000596
Mtor,p000597
NFYA,p000598
IGF2R,p000599
NM23,p000600
FGF18,p000601
ANG,p000602
RPP30,p000603
BC1,p000604
MYC,p000605
MDM2,p000606
cyclic AMP,p000607
AGO2,p000608
EED,p000609
Sox2,p000610
NKX2-2,p000611
GNAS,p000612
HFE,p000613
BDNF,p000614
HAS2,p000615
iNOS,p000616
RPS6KA2,p000617
DISC1,p000618
Runx2,p000619
INS,p000620
Msx1,p000621
FGFR3,p000622
glmS,p000623
Cop2,p000624
KCNQ1,p000625
UBE3A,p000626
COPG2,p000627
Peg1,p000628
FGF7,p000629
RFP2,p000630
HOXD11,p000631
HOXD8,p000632
HOXD9,p000633
MCL1,p000634
ZEB2,p000635
PEG11,p000636
GAL4,p000637
BOK,p000638
TNFRSF17,p000639
DLG2,p000640
PEG3,p000641
MYOD1,p000642
E2F4,p000643
ATXN7,p000644
KLHL11,p000645
TXNRD2,p000646
TXNRD1,p000647
TXNRD3,p000648
TRAF3IP2,p000649
DAB2IP,p000650
CENPF,p000651
CXCL11,p000652
NEDD9,p000653
CTNNB1,p000654
JUNB,p000655
DIO3,p000656
NPPA,p000657
SMAD5,p000658
DHRS4,p000659
DHRS4L2,p000660
DHRS4L1,p000661
IFNG,p000662
WT1,p000663
HLA-DQB1,p000664
TFIIH,p000665
DDX46,p000666
HLA-DRB1,p000667
ASF,p000668
IMP4,p000669
PRPF4,p000670
U5-15KD,p000671
TBP,p000672
NS-1,p000673
MVP,p000674
Ro52,p000675
SRP72,p000676
SRP68,p000677
TNFRSF1A,p000678
THBS1,p000679
SERPINE1,p000680
NME4,p000681
NFKBIA,p000682
NFKB1,p000683
MTA1,p000684
MCAM,p000685
JUN,p000686
EPDR1,p000687
E2F1,p000688
CD44,p000689
BIRC5,p000690
Rbm20,p000691
Coilin,p000692
RBPMS,p000693
LIN28B,p000694
PUM2,p000695
IGF2P1,p000696
EIF3G,p000697
TNRC6C,p000698
TNRC6A,p000699
TNRC6B,p000700
ORF57,p000701
IAPP,p000702
TP53INP1,p000703
