Protein,p_ID
EIF3L,p006696
KPNA6,p006697
CASP7,p006698
Map4k3,p006699
HMGN1,p006700
COL25A1,p006701
KCNJ6,p006702
NLGN2,p006703
NLGN1,p006704
NLGN3,p006705
MXI1,p006706
MXD4,p006707
CREBZF,p006708
SPAG4,p006709
SOS2,p006710
IL18,p006711
LHX3,p006712
UQCRC2,p006713
NCR3,p006714
SALL1,p006715
Rgs12,p006716
POLD3,p006717
USP10,p006718
CTNNAL1,p006719
AMBP,p006720
GPLD1,p006721
EFNA3,p006722
EFNA5,p006723
SYT13,p006724
SEMA6A,p006725
RAPGEF3,p006726
RAPGEF4,p006727
RAPGEF5,p006728
FGFR2,p006729
ICMT,p006730
CRH,p006731
SP4,p006732
PRKG2,p006733
RAD51B,p006734
LAMTOR2,p006735
GTF2F2,p006736
WRNIP1,p006737
CAMK1,p006738
SLC4A1AP,p006739
Ppara,p006740
PAH,p006741
COL9A1,p006742
GORASP1,p006743
BLZF1,p006744
PKLR,p006745
TLR1,p006746
DUSP19,p006747
CSF2,p006748
IL5,p006749
SPEN,p006750
TMEM132A,p006751
TNFRSF9,p006752
CDC34,p006753
ANAPC11,p006754
FGG,p006755
FGA,p006756
ELP3,p006757
IKBKAP,p006758
Tnfrsf14,p006759
RIT2,p006760
AMY1A,p006761
GP1BB,p006762
KCNK3,p006763
PLA2G1B,p006764
CCS,p006765
ZNF33A,p006766
FBXW8,p006767
GLRB,p006768
SWAP70,p006769
MKNK1,p006770
PITPNM3,p006771
DOK4,p006772
MPL,p006773
GAB3,p006774
SNAPC1,p006775
SNAPC3,p006776
HTR1A,p006777
S1PR1,p006778
HTR1D,p006779
RAB6A,p006780
CCNG1,p006781
SPDEF,p006782
RASD1,p006783
TNFRSF8,p006784
UBE2R2,p006785
KRT1,p006786
BDKRB2,p006787
TNFRSF4,p006788
RAB32,p006789
AKAP14,p006790
RPA4,p006791
NTN1,p006792
NKX2-1,p006793
SNRPC,p006794
Bub1,p006795
AFF4,p006796
ARL4A,p006797
EAF2,p006798
ELN,p006799
MFAP2,p006800
P2RX4,p006801
F7,p006802
SNCB,p006803
SLC8A1,p006804
ARHGDIB,p006805
ASIC2,p006806
GMEB1,p006807
ERCC5,p006808
NR5A2,p006809
CCL23,p006810
DRP2,p006811
RPS6KB1,p006812
MAPKAP1,p006813
Rps6kb1,p006814
Eif4e,p006815
PRKAA1,p006816
CLIP1,p006817
FNIP1,p006818
RB1CC1,p006819
Thra,p006820
Nfkb1,p006821
COASY,p006822
POLDIP3,p006823
PAM,p006824
Tsc1,p006825
FLCN,p006826
NRAP,p006827
BMP4,p006828
CCL22,p006829
IFT172,p006830
PTP4A1,p006831
CDC37,p006832
PDGFA,p006833
PAK6,p006834
ARFIP1,p006835
CHRND,p006836
INHBB,p006837
INHBA,p006838
MYOZ2,p006839
MYOZ1,p006840
MYOZ3,p006841
ICAM1,p006842
AP3S1,p006843
ELMO1,p006844
WWTR1,p006845
TNC,p006846
STON2,p006847
ASAP2,p006848
IL22,p006849
AKAP5,p006850
ABCA4,p006851
Trp53,p006852
CCNT2,p006853
POU4F2,p006854
DLX2,p006855
DLX5,p006856
ARTN,p006857
ABCG5,p006858
TAP2,p006859
SNAPC2,p006860
LBP,p006861
ELP2,p006862
ARHGAP26,p006863
ARHGAP10,p006864
UTF1,p006865
ERCC6,p006866
PTGFRN,p006867
TLX2,p006868
ARL2BP,p006869
CUBN,p006870
SYNC,p006871
Gmcl1,p006872
MAPT,p006873
NOS2,p006874
JADE1,p006875
RANBP10,p006876
COL7A1,p006877
VAMP3,p006878
COL17A1,p006879
TJAP1,p006880
SHC3,p006881
ABCB7,p006882
CD180,p006883
IL12RB1,p006884
IL23A,p006885
ARHGEF12,p006886
CCL3L1,p006887
NR6A1,p006888
NCAPD2,p006889
ATP6V1H,p006890
C1QA,p006891
IL13RA1,p006892
POU3F1,p006893
VAMP1,p006894
C8A,p006895
PTPN22,p006896
NLK,p006897
SDC4,p006898
TGFBR3,p006899
TOMM22,p006900
MAPKAPK5,p006901
ITM2B,p006902
KNTC1,p006903
PRB3,p006904
RIPK4,p006905
GALNT14,p006906
SH2B3,p006907
CD3D,p006908
BMF,p006909
DSP,p006910
PI3,p006911
IVL,p006912
ARHGAP17,p006913
ARHGAP44,p006914
AKAP6,p006915
PDE4A,p006916
PDE4D,p006917
CYFIP1,p006918
MAGI3,p006919
TMF1,p006920
SLC25A4,p006921
CD247,p006922
NET1,p006923
MAP4K1,p006924
TAX1BP1,p006925
IL10,p006926
ERC1,p006927
SDC1,p006928
NTRK2,p006929
CSF3R,p006930
FBN1,p006931
KLK2,p006932
ATP6AP2,p006933
SOX6,p006934
RAB6B,p006935
RGS5,p006936
EBI3,p006937
ASCL1,p006938
GPR143,p006939
CHML,p006940
ARHGEF4,p006941
SLC26A3,p006942
BEST1,p006943
Ephb1,p006944
ISL1,p006945
ISL2,p006946
VCAM1,p006947
REPS2,p006948
FKBP5,p006949
Itpr2,p006950
EXOSC7,p006951
EXOSC1,p006952
HNF1B,p006953
NFE2L3,p006954
RAB13,p006955
CD34,p006956
SEC24B,p006957
FBLN2,p006958
SYT2,p006959
SYT7,p006960
SYT8,p006961
SYT3,p006962
SYT4,p006963
SLC12A3,p006964
IL17RB,p006965
RAB27B,p006966
Pak3,p006967
FRAT1,p006968
DYNC2H1,p006969
DYNC2LI1,p006970
SGK3,p006971
HR,p006972
Eps15,p006973
CD84,p006974
Il1r2,p006975
REPS1,p006976
LPA,p006977
THEM4,p006978
EYA1,p006979
KCNS3,p006980
MS4A1,p006981
FGFBP1,p006982
PAG1,p006983
NRXN2,p006984
NRXN3,p006985
MMP1,p006986
MMP3,p006987
MMP8,p006988
MMP10,p006989
MMP13,p006990
CXCR1,p006991
RYK,p006992
PRPF4B,p006993
PLA2G4C,p006994
DSC2,p006995
GJB1,p006996
RBP1,p006997
DUSP16,p006998
RASSF5,p006999
NRD1,p007000
ARL8B,p007001
BANK1,p007002
CCR3,p007003
RNGTT,p007004
IBTK,p007005
Thrb,p007006
RGS14,p007007
HAND1,p007008
FBXO32,p007009
PODXL,p007010
ESRRG,p007011
TAH1,p007012
SLAMF1,p007013
IRF8,p007014
NFKBIE,p007015
DSC3,p007016
APOBEC2,p007017
PPP2R5A,p007018
CLINT1,p007019
PTPN21,p007020
TNFSF15,p007021
CREB5,p007022
AFP,p007023
TWIST2,p007024
Ube2i,p007025
MAP3K6,p007026
NXF2,p007027
FBXO2,p007028
NOD1,p007029
AIP,p007030
CCNB3,p007031
CD72,p007032
LIG4,p007033
Prkaa1,p007034
KCNJ5,p007035
TRIM3,p007036
TIRAP,p007037
ADRA2B,p007038
ADRA2C,p007039
TMBIM6,p007040
MAP2,p007041
PAIP1,p007042
IREB2,p007043
SIGMAR1,p007044
Ar,p007045
NGEF,p007046
TNFRSF18,p007047
NR0B1,p007048
SNRPE,p007049
GLI1,p007050
APCS,p007051
SCGB1A1,p007052
PAK1IP1,p007053
CD33,p007054
C1R,p007055
MASP1,p007056
PPP2R3A,p007057
C4B,p007058
ZNF174,p007059
ZKSCAN8,p007060
CCR7,p007061
SH2D3A,p007062
C6orf25,p007063
MAPK13,p007064
HLA-DRB3,p007065
CD59,p007066
CD48,p007067
ODF1,p007068
TSN,p007069
CFHR3,p007070
CFHR4,p007071
ZDHHC17,p007072
PIGH,p007073
PARD6B,p007074
ACVR1B,p007075
ALOX12,p007076
MLLT1,p007077
PVRL3,p007078
ERN1,p007079
CDH6,p007080
XAB2,p007081
BAG2,p007082
CLK4,p007083
KIR3DL2,p007084
ADAM12,p007085
OPRM1,p007086
MYLK,p007087
STAG1,p007088
ANAPC1,p007089
IL18R1,p007090
Hes1,p007091
CDK11B,p007092
HUS1B,p007093
CREG1,p007094
LAMTOR3,p007095
HOXC8,p007096
RALGPS1,p007097
NLGN4X,p007098
SYNPO,p007099
PPP4R4,p007100
CTTNBP2,p007101
CTTNBP2NL,p007102
STRIP1,p007103
PDCD10,p007104
STK26,p007105
SIKE1,p007106
STRN,p007107
TRAF3IP3,p007108
PPP2CB,p007109
PPP2R2C,p007110
PPP4R1,p007111
IGBP1,p007112
TCP1,p007113
SMEK1,p007114
TIPRL,p007115
CNN1,p007116
MATN2,p007117
FCGR1A,p007118
FCAR,p007119
IRS4,p007120
DCX,p007121
CNTNAP4,p007122
CNTNAP3,p007123
CST5,p007124
APBA1,p007125
VAMP8,p007126
VTI1A,p007127
STX7,p007128
GEMIN6,p007129
SERPINB8,p007130
HMMR,p007131
EFNB1,p007132
TRA,p007133
TRB,p007134
OPHN1,p007135
LTA,p007136
IL4,p007137
SAG,p007138
NPNT,p007139
ITGA8,p007140
TAF11,p007141
RDX,p007142
MAG,p007143
TGFB2,p007144
COL10A1,p007145
CASP8AP2,p007146
Tada3,p007147
NOD2,p007148
TESK1,p007149
TESK2,p007150
IFNGR1,p007151
IFNGR2,p007152
RFX4,p007153
LGALS3,p007154
SHC2,p007155
TIMP4,p007156
PFKM,p007157
NFKBIZ,p007158
VIPR1,p007159
TCEB2,p007160
HP,p007161
CSF2RA,p007162
MPP5,p007163
GAL11,p007164
CLCA1,p007165
CHST15,p007166
EPHA8,p007167
INSL3,p007168
IL7R,p007169
CCR6,p007170
TWSG1,p007171
BMP1,p007172
FKBP1B,p007173
IL1R2,p007174
EPB42,p007175
SYNRG,p007176
ACVRL1,p007177
UBA4,p007178
CHM,p007179
SLC6A1,p007180
Mapk1,p007181
LZTS1,p007182
CLGN,p007183
RNF19A,p007184
GLP1R,p007185
NRL,p007186
ADAM10,p007187
NISCH,p007188
WIPF2,p007189
SOCS2,p007190
slx8,p007191
GBP3,p007192
WTAP,p007193
CCNB2,p007194
SENP2,p007195
NLRP1,p007196
RAB33B,p007197
LAMA1,p007198
EDA2R,p007199
SGOL1,p007200
LAIR1,p007201
INHBE,p007202
MAP4K5,p007203
SLC7A7,p007204
FAM57A,p007205
ACKR2,p007206
CCR1,p007207
PIK3CB,p007208
CD14,p007209
MBP,p007210
PMP22,p007211
MPZ,p007212
PVRL1,p007213
OCRL,p007214
CSRP2,p007215
CCKAR,p007216
PTPRH,p007217
TAOK3,p007218
STRAP,p007219
UPK3A,p007220
MYOG,p007221
IL12A,p007222
TACR2,p007223
CDK16,p007224
SYN2,p007225
TAF5,p007226
TFEC,p007227
ATF6,p007228
LBR,p007229
SCN5A,p007230
MAPK12,p007231
PTPRN,p007232
AVEN,p007233
NFATC1,p007234
CLDN8,p007235
BTBD1,p007236
Tnfrsf8,p007237
SIX3,p007238
SIX6,p007239
FHIT,p007240
PPM1E,p007241
PPM1F,p007242
MECP2,p007243
NFIB,p007244
MTPN,p007245
TAF4B,p007246
SNAPC4,p007247
RTN4R,p007248
TFPI,p007249
F9,p007250
ZCCHC8,p007251
KISS1R,p007252
IFT57,p007253
VPS11,p007254
VPS16,p007255
VPS18,p007256
VPS33A,p007257
PPP1R3D,p007258
SH3BP1,p007259
MTBP,p007260
OSMR,p007261
MPDZ,p007262
MOS,p007263
TSHR,p007264
RAB15,p007265
CDK5RAP1,p007266
CD24,p007267
FGF3,p007268
EBNA1BP2,p007269
SYTL3,p007270
EXPH5,p007271
RAPGEF2,p007272
Sin3b,p007273
IFRD1,p007274
CARD9,p007275
GPRASP1,p007276
ZIC1,p007277
ZIC2,p007278
GLI3,p007279
SLA2,p007280
CARD11,p007281
CARD14,p007282
OSBP,p007283
PAX1,p007284
MEOX1,p007285
GRAP,p007286
CP,p007287
SH2D1B,p007288
Sh2d1b1,p007289
Cd244,p007290
PRRX1,p007291
PTH2R,p007292
Mybl2,p007293
PTHLH,p007294
TAPBP,p007295
pparg,p007296
KIR2DL2,p007297
Efs,p007298
Ptk2b,p007299
KIF20B,p007300
IRF7,p007301
PICALM,p007302
SERPINB6,p007303
Vdac1,p007304
SIRPB1,p007305
TYROBP,p007306
WBP4,p007307
FNBP4,p007308
TNFSF13,p007309
NEK2,p007310
CLEC4C,p007311
KIN3,p007312
TIAF1,p007313
PRDM1,p007314
GABRB2,p007315
DAD1,p007316
ELK4,p007317
PTGS2,p007318
MAPKAPK3,p007319
P2RY1,p007320
GRM1,p007321
ADCY2,p007322
ARFGAP1,p007323
KIF23,p007324
PPIF,p007325
DUSP4,p007326
SLC1A2,p007327
GP5,p007328
SELP,p007329
Tpd52,p007330
Mapk14,p007331
Scap,p007332
SELPLG,p007333
SSH1,p007334
SSH2,p007335
PAPPA,p007336
MSH3,p007337
POLD2,p007338
MGC53867,p007339
Apbb1,p007340
NAE1,p007341
CALU,p007342
RNH1,p007343
SLC4A3,p007344
PSMA3,p007345
PSMA5,p007346
PSMA4,p007347
C9,p007348
PROC,p007349
THBD,p007350
MAP2K3,p007351
MAP3K4,p007352
Gab2,p007353
SLAMF6,p007354
MPZL1,p007355
SIGLEC11,p007356
PROS1,p007357
F5,p007358
NRCAM,p007359
CNTN1,p007360
PTPRM,p007361
PRKX,p007362
MYCBPAP,p007363
AKAP2,p007364
MAATS1,p007365
CAPZA2,p007366
SEC61A1,p007367
SEC61B,p007368
MUTYH,p007369
DARS2,p007370
NR2C2AP,p007371
Tgfb1i1,p007372
Ehd3,p007373
PEF1,p007374
GUCY2C,p007375
PDZD3,p007376
RAB11FIP1,p007377
Axin1,p007378
PIK3R5,p007379
Melk,p007380
CRYAA,p007381
CRYBB2,p007382
CRYGC,p007383
ARL5A,p007384
Csnk1d,p007385
Csnk1e,p007386
RILP,p007387
FCRL3,p007388
GMFB,p007389
Scnn1g,p007390
LUC7L3,p007391
RHPN2,p007392
Cbx1,p007393
SERGEF,p007394
PPRC1,p007395
IRX4,p007396
TRIM54,p007397
SETBP1,p007398
Khdrbs3,p007399
RRAGB,p007400
AGTRAP,p007401
Nde1,p007402
TUBG1,p007403
DAZAP1,p007404
DAZ1,p007405
AKT3,p007406
SLIT2,p007407
BCHE,p007408
CDC39,p007409
PTAFR,p007410
SNX5,p007411
Uts2r,p007412
EcR,p007413
Sin3a,p007414
NPBWR1,p007415
Mllt10,p007416
FBXO5,p007417
Ago2,p007418
COG3,p007419
EDAR,p007420
EDARADD,p007421
ERO1L,p007422
ERP44,p007423
ERO1LB,p007424
SOCS7,p007425
PIK3C2B,p007426
CD7,p007427
MST1R,p007428
ATP2B2,p007429
ATP2A2,p007430
SLC6A4,p007431
CPN1,p007432
Sftpd,p007433
PDHB,p007434
SYTL5,p007435
RRAD,p007436
TPM2,p007437
RBSN,p007438
RIN2,p007439
RAPGEF6,p007440
TDH,p007441
Pawr,p007442
STAT4,p007443
FBXO7,p007444
FBXL3,p007445
Synj1,p007446
FOXF2,p007447
HELB,p007448
TRAP1,p007449
TRIP11,p007450
THOC1,p007451
ACTC1,p007452
ZMYND11,p007453
AFAP1,p007454
SCIN,p007455
PHLDB2,p007456
MYOT,p007457
RCVRN,p007458
Kcnd2,p007459
FBXO18,p007460
GJD3,p007461
PPP2R1B,p007462
SEPT9,p007463
ICOSLG,p007464
PRKRIR,p007465
PLEKHA1,p007466
PLEKHA2,p007467
NR2E3,p007468
TST,p007469
ABCE1,p007470
CAMK2D,p007471
CTDP1,p007472
HOMER2,p007473
CPAMD8,p007474
ADCYAP1,p007475
SEMG1,p007476
CD80,p007477
Stat5a,p007478
SF3A2,p007479
Stat5b,p007480
CENPJ,p007481
ced-3,p007482
UBD,p007483
ACTA2,p007484
MADCAM1,p007485
BATF,p007486
KAP104,p007487
IL1RL1,p007488
Hspa8,p007489
Ptpn6,p007490
Ncoa3,p007491
PAIP2,p007492
ASF1A,p007493
Eps15l1,p007494
SSR2,p007495
CORT,p007496
BRAP,p007497
ZNF350,p007498
PRL,p007499
CARS,p007500
IL10RB,p007501
SMG1,p007502
DYSF,p007503
SPN,p007504
GZMB,p007505
RAMP1,p007506
CD209,p007507
IL25,p007508
Sstr2,p007509
SSTR3,p007510
IL22RA1,p007511
Lrrc41,p007512
CUL5,p007513
NMUR1,p007514
NMU,p007515
Nmu,p007516
KIF13B,p007517
P4ha2,p007518
Ndn,p007519
HCST,p007520
Nkx2-5,p007521
MUC5B,p007522
CPLX1,p007523
SLC6A9,p007524
SLC6A5,p007525
STX12,p007526
STX17,p007527
SECTM1,p007528
COX4I2,p007529
POR,p007530
SDC3,p007531
DDO,p007532
PLA2G2A,p007533
DSC1,p007534
DSG1,p007535
DES,p007536
PDE1A,p007537
PPP3R1,p007538
Map3k6,p007539
LMTK2,p007540
MAPRE1,p007541
PITX2,p007542
IL1B,p007543
Pou1f1,p007544
Nek2,p007545
POLR3D,p007546
POLR3E,p007547
POLR3A,p007548
LYST,p007549
DFFB,p007550
DNAJC14,p007551
DRD1,p007552
MYO10,p007553
CACNA1S,p007554
NPTX2,p007555
UTRN,p007556
PGM5,p007557
Ucn,p007558
UCN,p007559
DUSP5,p007560
CAP1,p007561
SCARB2,p007562
NAB1,p007563
FCN1,p007564
GNA11,p007565
NID1,p007566
PSIP1,p007567
CASQ2,p007568
SNX2,p007569
SNX4,p007570
DCLRE1C,p007571
Gata6,p007572
IL12B,p007573
GABPA,p007574
CEBPD,p007575
EREG,p007576
NR2F6,p007577
EPO,p007578
IPO5,p007579
MATN1,p007580
NCOA7,p007581
MED24,p007582
Dlg4,p007583
Dlg1,p007584
PURA,p007585
PIK3CG,p007586
BTF3,p007587
CD163,p007588
TYRP1,p007589
CTNNA3,p007590
F13B,p007591
PTPRK,p007592
HRG,p007593
GPC4,p007594
RPL6,p007595
MYCBP2,p007596
NRG2,p007597
PZP,p007598
TGFBRAP1,p007599
MAML2,p007600
MAML3,p007601
TPH1,p007602
HSPA9,p007603
CUL9,p007604
NTRK3,p007605
CCNE2,p007606
REG3A,p007607
IGSF1,p007608
GP6,p007609
rna1,p007610
RANGAP1,p007611
Pax3,p007612
UBE2L6,p007613
SIT1,p007614
THY1,p007615
B4GALT1,p007616
GABRA1,p007617
WIPF1,p007618
MASP2,p007619
NR4A3,p007620
Git1,p007621
Nedd4,p007622
ZNF675,p007623
Lrrc7,p007624
CAMK2B,p007625
UPP1,p007626
UPP2,p007627
Parp2,p007628
PARP2,p007629
RPL7,p007630
Zfp128,p007631
Eif5,p007632
Ern2,p007633
TRAF3IP1,p007634
Igbp1,p007635
ATOX1,p007636
CASR,p007637
GAD2,p007638
TNFRSF19,p007639
POMC,p007640
MCF2,p007641
Polr2a,p007642
Frs2,p007643
PPP6C,p007644
PAK3,p007645
ACTN3,p007646
MED14,p007647
GYG2,p007648
CARD8,p007649
Ikbkg,p007650
RAB11B,p007651
UBQLN2,p007652
TIFA,p007653
ZFPM2,p007654
POU3F2,p007655
IRAK4,p007656
EDA,p007657
ARHGEF9,p007658
GMCL1,p007659
ASAP1,p007660
Reps2,p007661
Mcm2,p007662
Mcm6,p007663
NR3C2,p007664
GCKR,p007665
GRIK3,p007666
GSTM1,p007667
GSTM2,p007668
CCNL1,p007669
RHOJ,p007670
Prdm1,p007671
Tbk1,p007672
SORL1,p007673
Ecsit,p007674
KIF13A,p007675
PSMD1,p007676
LTB,p007677
RGS12,p007678
PARD6G,p007679
RIC8A,p007680
SNX13,p007681
GUCY1A2,p007682
MS4A3,p007683
GZMA,p007684
CD40LG,p007685
ST13,p007686
USP4,p007687
CHRM3,p007688
KAL1,p007689
MARCKSL1,p007690
TREM1,p007691
MAGI2,p007692
DCTN4,p007693
Schip1,p007694
SCHIP1,p007695
DOCK2,p007696
EIF4G3,p007697
Per1,p007698
Rac1,p007699
ALPI,p007700
LIMS2,p007701
SMN2,p007702
Il1rap,p007703
NMT1,p007704
CABP2,p007705
KCNE1,p007706
COTL1,p007707
PRSS3,p007708
NARF,p007709
LTK,p007710
LYL1,p007711
TAL2,p007712
THBS2,p007713
EXO1,p007714
CR1,p007715
IFNA1,p007716
GSP1,p007717
C6,p007718
ITGAM,p007719
GJB2,p007720
Pdzk1,p007721
RUNX3,p007722
LGALS3BP,p007723
LTBP1,p007724
LMNB1,p007725
GPR37,p007726
Map3k7,p007727
Nrp1,p007728
per,p007729
Clock,p007730
IRAK2,p007731
DNAJB6,p007732
Map3k3,p007733
ACTL6B,p007734
PJA1,p007735
APC11,p007736
CRABP2,p007737
Wbp1,p007738
Arl3,p007739
PPP2R5C,p007740
PPP2R5B,p007741
PPP2R5E,p007742
Erbb2,p007743
REV1,p007744
REV3L,p007745
Ncoa2,p007746
CSH2,p007747
Dlgap1,p007748
Kcna4,p007749
Shank1,p007750
CCT2,p007751
Safb,p007752
XRCC3,p007753
CASP14,p007754
HIST4H4,p007755
HIST3H3,p007756
Nphs2,p007757
KLRC1,p007758
KLRC2,p007759
MX1,p007760
NCR2,p007761
Esrrg,p007762
Shh,p007763
FCGR2B,p007764
IGFBP4,p007765
UCP3,p007766
CD53,p007767
HOXD12,p007768
KIR2DL3,p007769
HPCA,p007770
Ube2g2,p007771
Map3k2,p007772
Pebp1,p007773
UBXN6,p007774
RLIM,p007775
N6AMT1,p007776
MEC1,p007777
CTDSPL,p007778
RPL26,p007779
RARRES3,p007780
FAF2,p007781
HECTD3,p007782
DTL,p007783
SLC11A2,p007784
HMOX1,p007785
ATPAF1,p007786
IL2RG,p007787
TGFA,p007788
DPH1,p007789
C1GALT1,p007790
C1GALT1C1,p007791
RNF103,p007792
JDP2,p007793
MAP1LC3A,p007794
PLEKHO1,p007795
AP4B1,p007796
PPIP5K1,p007797
DDX58,p007798
SNX3,p007799
KIAA0101,p007800
RPLP2,p007801
TAF1L,p007802
TLE2,p007803
ADAM19,p007804
TRIP12,p007805
NPLOC4,p007806
TTYH3,p007807
TTYH2,p007808
PRMT3,p007809
KCTD5,p007810
PRKAG2,p007811
PRKAG3,p007812
AIPL1,p007813
BACH2,p007814
BACH1,p007815
RAB11FIP5,p007816
GNGT1,p007817
GNG7,p007818
EXOSC2,p007819
EXOSC8,p007820
CCHCR1,p007821
ABTB2,p007822
FBXL6,p007823
FLT3,p007824
plk1,p007825
EPAS1,p007826
RNF180,p007827
HERC6,p007828
HERC3,p007829
VPRBP,p007830
BIRC6,p007831
Il6st,p007832
RBCK1,p007833
MARK2,p007834
FANCM,p007835
Trim54,p007836
RTT109,p007837
DZIP3,p007838
ANKRD6,p007839
OTUD5,p007840
RNF125,p007841
MARCH2,p007842
SPRED1,p007843
SPRY1,p007844
SPRY3,p007845
SPRED2,p007846
MIG1,p007847
PPM1D,p007848
UHRF1,p007849
NHLRC1,p007850
PELI1,p007851
PELI2,p007852
Arrb2,p007853
Rad23b,p007854
TBC1D7,p007855
GCM1,p007856
RNF181,p007857
CXXC1,p007858
KMT2D,p007859
NAP1L4,p007860
PIR121,p007861
VRK1,p007862
SMC5,p007863
SMC6,p007864
PADI4,p007865
WHSC1,p007866
ASB4,p007867
L3MBTL1,p007868
TTK,p007869
STK4,p007870
PSMD14,p007871
PSMD5,p007872
LEO1,p007873
MCM8,p007874
GMPS,p007875
FIE,p007876
EGLN1,p007877
ZMYM2,p007878
WDR82P1,p007879
ING2,p007880
ING3,p007881
OSR1,p007882
PRL1,p007883
RRP1B,p007884
Rrp1b,p007885
DCLRE1B,p007886
"""BRCA2(IV)""",p007887
NTF2A,p007888
NTF2B,p007889
SVIP,p007890
CHD8,p007891
H2AFY,p007892
L3MBTL2,p007893
ZMIZ2,p007894
CHD7,p007895
Usp8,p007896
Ywhae,p007897
RSP5,p007898
UBE2H,p007899
UBE2C,p007900
UBASH3A,p007901
PCGF2,p007902
PGC,p007903
SETD7,p007904
UBA6,p007905
CSF1,p007906
LAMC2,p007907
PRMT7,p007908
JARID2,p007909
CSN3,p007910
CUEDC2,p007911
IL17RA,p007912
DAPK1,p007913
TAH18,p007914
PCF11,p007915
IME2,p007916
SPT2,p007917
Nr1h4,p007918
PHLPP1,p007919
SEY1,p007920
SEC14,p007921
CKI1,p007922
TRS20,p007923
HHT1,p007924
HHT2,p007925
PDZRN3,p007926
SAT2,p007927
GBF1,p007928
FIG4,p007929
SGIP1,p007930
SGS1,p007931
NTG2,p007932
GAPVD1,p007933
YPK9,p007934
SPF1,p007935
HRD1,p007936
UBP3,p007937
PDE2,p007938
CDC5,p007939
YCK3,p007940
UIMC1,p007941
HRR25,p007942
CWC21,p007943
SIT4,p007944
DNAJC19,p007945
AIF1,p007946
MCA1,p007947
CLN3,p007948
SIZ1,p007949
PAM18,p007950
TIM23,p007951
TIMM17A,p007952
Rb1,p007953
PPP1R3A,p007954
AMER1,p007955
CYLD,p007956
USP19,p007957
USP36,p007958
USP15,p007959
OSBPL10,p007960
USP37,p007961
USP46,p007962
USP25,p007963
USP1,p007964
USP53,p007965
BABAM1,p007966
UBL4A,p007967
WDR48,p007968
USP17L9P,p007969
USP42,p007970
JOSD1,p007971
USP3,p007972
USP32,p007973
USP45,p007974
USP49,p007975
USP44,p007976
WDR20,p007977
USP29,p007978
USP32P2,p007979
USP12,p007980
USP30,p007981
AMOT,p007982
OTUD4,p007983
USP21,p007984
OTUD1,p007985
OSBPL9,p007986
OTUB2,p007987
BAP1,p007988
USP38,p007989
KLHL13,p007990
USP18,p007991
USP39,p007992
USP43,p007993
ZRANB1,p007994
PHLPP2,p007995
USP17L2,p007996
USP28,p007997
STAMBPL1,p007998
VCPIP1,p007999
TCEAL4,p008000
OTUD6B,p008001
YOD1,p008002
UCHL3,p008003
USP26,p008004
USP48,p008005
SLX4,p008006
SLX4IP,p008007
RPAP2,p008008
RPAP3,p008009
RPAP1,p008010
GPN1,p008011
TAF10,p008012
POLR3H,p008013
IRE1,p008014
PSMD9,p008015
Tdg,p008016
CAPRIN1,p008017
Mecp2,p008018
ZC3HC1,p008019
TCF19,p008020
US2,p008021
US3,p008022
LRIG1,p008023
LOC407840,p008024
CDKL5,p008025
LAPTM5,p008026
FBXO11,p008027
FCHSD1,p008028
SRGAP2,p008029
PRICKLE1,p008030
GTF3C6,p008031
SWE1,p008032
HIST1H3E,p008033
H3F3A,p008034
HIST1H3A,p008035
PHF8,p008036
THAP3,p008037
Foxp2,p008038
RNF220,p008039
DCAF11,p008040
DNAJB8,p008041
FRA10F,p008042
UL30,p008043
UL52,p008044
MTF2,p008045
MORC2,p008046
NUP93,p008047
ACSM3,p008048
SASH1,p008049
KCTD11,p008050
MRGBP,p008051
mad2,p008052
PAT1,p008053
spt5,p008054
TSHZ1,p008055
TSHZ2,p008056
TSHZ3,p008057
SSX2,p008058
MED15,p008059
Egfr,p008060
PSMA2,p008061
pin1-b,p008062
CCDC50,p008063
UBE2J1,p008064
UBE2Q1,p008065
UBE2Q2,p008066
UBE2T,p008067
UBE2U,p008068
UBE2W,p008069
Socs6,p008070
UBC35,p008071
UBC36,p008072
POLK,p008073
UEVLD,p008074
UBE2DNL,p008075
UBE2O,p008076
UBE2G1,p008077
UBE2F,p008078
Ubr5,p008079
EN1,p008080
INSIG2,p008081
PYHIN1,p008082
FANCL,p008083
TCF7,p008084
CAT2,p008085
SRR,p008086
rnf138,p008087
RNF19B,p008088
YPK1,p008089
EVI5,p008090
RNF144B,p008091
VPS36,p008092
VPS20,p008093
Poli,p008094
IGKV2D-29,p008095
RNF20,p008096
ASB2,p008097
ASB1,p008098
ASB7,p008099
ASB12,p008100
ANAPC7,p008101
AMBRA1,p008102
ATG10,p008103
ATG16L1,p008104
ATG2A,p008105
ATG4B,p008106
ATG4C,p008107
BECN1,p008108
ATG101,p008109
CAMKK2,p008110
DDA1,p008111
FYCO1,p008112
GABARAPL1,p008113
GBAS,p008114
MLST8,p008115
KBTBD7,p008116
KLHDC10,p008117
ATG13,p008118
ATG14,p008119
MAP1LC3C,p008120
PIK3C2A,p008121
PIK3C3,p008122
PRKAA2,p008123
STK3,p008124
TECPR1,p008125
UBA5,p008126
UVRAG,p008127
WDR45,p008128
HIST1H3B,p008129
PXA2,p008130
PXA1,p008131
MKX,p008132
NFE4,p008133
SESN2,p008134
