Symbol,LncBook ID,NONCODE ID,Ensemble ID,RefSeq ID,l_ID
NONHSAG030047,-,NONHSAG030047,-,-,l024772
NONHSAG043031,-,NONHSAG043031,-,-,l024773
NONHSAG043030,-,NONHSAG043030,-,-,l024774
NONHSAG043035,-,NONHSAG043035,-,-,l024775
NONHSAG023826,-,NONHSAG023826,-,-,l024776
NONHSAG049166,-,NONHSAG049166,-,-,l024777
NONHSAG023820,-,NONHSAG023820,-,-,l024778
RPI002_004847,-,NONHSAG038738,-,-,l024779
NONHSAG038736,-,NONHSAG038736,-,-,l024780
NONHSAG025370,-,NONHSAG025370,-,-,l024781
NONHSAG025379,-,NONHSAG025379,-,-,l024782
RPI002_004852,-,NONHSAG037815,-,-,l024783
NONHSAG048413,-,NONHSAG048413,-,-,l024784
NONHSAG048416,-,NONHSAG048416,-,-,l024785
NONHSAG008926,-,NONHSAG008926,-,-,l024786
NONHSAG032552,-,NONHSAG032552,-,-,l024787
RPI002_004857,-,NONHSAG032553,-,-,l024788
RPI002_004858,-,NONHSAG032554,-,-,l024789
NONHSAG032555,-,NONHSAG032555,-,-,l024790
RPI002_004860,-,NONHSAG032556,-,-,l024791
NONHSAG036079,-,NONHSAG036079,-,-,l024792
NONHSAG030899,-,NONHSAG030899,-,-,l024793
NONHSAG030898,-,NONHSAG030898,-,-,l024794
NONHSAG033602,-,NONHSAG033602,-,-,l024795
NONHSAG055372,-,NONHSAG055372,-,-,l024796
NONHSAG055371,-,NONHSAG055371,-,-,l024797
NONHSAG055370,-,NONHSAG055370,-,-,l024798
NONHSAG037380,-,NONHSAG037380,-,-,l024799
NONHSAG037039,-,NONHSAG037039,-,-,l024800
NONHSAG045270,-,NONHSAG045270,-,-,l024801
NONHSAG009208,-,NONHSAG009208,-,-,l024802
NONHSAG009200,-,NONHSAG009200,-,-,l024803
NONHSAG009201,-,NONHSAG009201,-,-,l024804
NONHSAG009205,-,NONHSAG009205,-,-,l024805
NONHSAG001778,-,NONHSAG001778,-,-,l024806
NONHSAG006925,-,NONHSAG006925,-,-,l024807
RPI002_004877,-,NONHSAG006690,-,-,l024808
NONHSAG004208,-,NONHSAG004208,-,-,l024809
NONHSAG042568,-,NONHSAG042568,-,-,l024810
NONHSAG029849,-,NONHSAG029849,-,-,l024811
RPI002_004881,-,NONHSAG046948,-,-,l024812
NONHSAG054373,-,NONHSAG054373,-,-,l024813
NONHSAG002331,-,NONHSAG002331,-,-,l024814
NONHSAG012171,-,NONHSAG012171,-,-,l024815
NONHSAG012172,-,NONHSAG012172,-,-,l024816
NONHSAG012173,-,NONHSAG012173,-,-,l024817
NONHSAG012174,-,NONHSAG012174,-,-,l024818
NONHSAG048355,-,NONHSAG048355,-,-,l024819
NONHSAG047363,-,NONHSAG047363,-,-,l024820
NONHSAG002593,-,NONHSAG002593,-,-,l024821
NONHSAG002596,-,NONHSAG002596,-,-,l024822
NONHSAG053033,-,NONHSAG053033,-,-,l024823
NONHSAG004992,-,NONHSAG004992,-,-,l024824
NONHSAG053532,-,NONHSAG053532,-,-,l024825
RPI002_004896,-,NONHSAG013622,-,-,l024826
NONHSAG054548,-,NONHSAG054548,-,-,l024827
NONHSAG013629,-,NONHSAG013629,-,-,l024828
NONHSAG054542,-,NONHSAG054542,-,-,l024829
NONHSAG054541,-,NONHSAG054541,-,-,l024830
RPI002_004901,-,NONHSAG014819,-,-,l024831
NONHSAG014813,-,NONHSAG014813,-,-,l024832
NONHSAG027552,-,NONHSAG027552,-,-,l024833
NONHSAG027551,-,NONHSAG027551,-,-,l024834
NONHSAG020789,-,NONHSAG020789,-,-,l024835
NONHSAG020780,-,NONHSAG020780,-,-,l024836
NONHSAG020785,-,NONHSAG020785,-,-,l024837
NONHSAG022317,-,NONHSAG022317,-,-,l024838
RPI002_004909,-,NONHSAG022310,-,-,l024839
RPI002_004910,-,NONHSAG019476,-,-,l024840
NONHSAG028141,-,NONHSAG028141,-,-,l024841
NONHSAG011663,-,NONHSAG011663,-,-,l024842
RPI002_004914,-,NONHSAG051397,-,-,l024843
NONHSAG014103,-,NONHSAG014103,-,-,l024844
NONHSAG034655,-,NONHSAG034655,-,-,l024845
NONHSAG034657,-,NONHSAG034657,-,-,l024846
NONHSAG025570,-,NONHSAG025570,-,-,l024847
NONHSAG050308,-,NONHSAG050308,-,-,l024848
NONHSAG021667,-,NONHSAG021667,-,-,l024849
NONHSAG021661,-,NONHSAG021661,-,-,l024850
NONHSAG029471,-,NONHSAG029471,-,-,l024851
RPI002_004923,-,NONHSAG055396,-,-,l024852
NONHSAG011088,-,NONHSAG011088,-,-,l024853
