NoncodeGeneID,l_ID
NONMMUG010542.2,l07214
NONMMUG010547.2,l07215
NONMMUG010548.2,l07216
NONMMUG010554.2,l07217
NONMMUG010555.3,l07218
NONMMUG010557.2,l07219
NONMMUG010559.3,l07220
NONMMUG010561.2,l07221
NONMMUG010562.2,l07222
NONMMUG010563.2,l07223
NONMMUG010565.2,l07224
NONMMUG010567.2,l07225
NONMMUG056738.1,l07226
NONMMUG010569.2,l07227
NONMMUG010570.2,l07228
NONMMUG010571.2,l07229
NONMMUG055712.1,l07230
NONMMUG010573.2,l07231
NONMMUG010574.2,l07232
NONMMUG010575.2,l07233
NONMMUG010576.2,l07234
NONMMUG010577.2,l07235
NONMMUG010578.2,l07236
NONMMUG010579.2,l07237
NONMMUG010580.2,l07238
NONMMUG010584.2,l07239
NONMMUG010585.2,l07240
NONMMUG010587.2,l07241
NONMMUG010589.2,l07242
NONMMUG010590.2,l07243
NONMMUG010591.2,l07244
NONMMUG010592.2,l07245
NONMMUG010593.2,l07246
NONMMUG055732.1,l07247
NONMMUG055733.1,l07248
NONMMUG010594.2,l07249
NONMMUG010598.2,l07250
NONMMUG010602.2,l07251
NONMMUG010604.2,l07252
NONMMUG010607.3,l07253
NONMMUG056760.1,l07254
NONMMUG010608.2,l07255
NONMMUG010609.2,l07256
NONMMUG010610.2,l07257
NONMMUG010615.2,l07258
NONMMUG010616.2,l07259
NONMMUG010618.3,l07260
NONMMUG010167.2,l07261
NONMMUG056767.1,l07262
NONMMUG010619.2,l07263
NONMMUG010620.2,l07264
NONMMUG056773.1,l07265
NONMMUG055540.1,l07266
NONMMUG010624.2,l07267
NONMMUG010626.2,l07268
NONMMUG010627.2,l07269
NONMMUG010629.2,l07270
NONMMUG010631.2,l07271
NONMMUG010638.2,l07272
NONMMUG010639.2,l07273
NONMMUG089791.1,l07274
NONMMUG010168.2,l07275
NONMMUG010649.2,l07276
NONMMUG010650.2,l07277
NONMMUG010653.2,l07278
NONMMUG010652.2,l07279
NONMMUG010654.2,l07280
NONMMUG010655.2,l07281
NONMMUG010656.2,l07282
NONMMUG010662.3,l07283
NONMMUG010661.2,l07284
NONMMUG010663.2,l07285
NONMMUG010665.2,l07286
NONMMUG010666.2,l07287
NONMMUG010668.2,l07288
NONMMUG010669.2,l07289
NONMMUG010670.2,l07290
NONMMUG010671.2,l07291
NONMMUG010169.2,l07292
NONMMUG010672.3,l07293
NONMMUG010673.2,l07294
NONMMUG010674.3,l07295
NONMMUG055761.1,l07296
NONMMUG010679.3,l07297
NONMMUG010678.2,l07298
NONMMUG010680.3,l07299
NONMMUG010681.3,l07300
NONMMUG010171.2,l07301
NONMMUG010172.2,l07302
NONMMUG010173.2,l07303
NONMMUG010687.2,l07304
NONMMUG010688.2,l07305
NONMMUG010689.2,l07306
NONMMUG010690.2,l07307
NONMMUG010693.2,l07308
NONMMUG010174.2,l07309
NONMMUG010694.2,l07310
NONMMUG010695.2,l07311
NONMMUG010696.2,l07312
NONMMUG010697.2,l07313
NONMMUG010698.2,l07314
NONMMUG055768.1,l07315
NONMMUG010700.2,l07316
NONMMUG010701.2,l07317
NONMMUG010702.2,l07318
NONMMUG055772.1,l07319
NONMMUG055773.1,l07320
NONMMUG010704.2,l07321
NONMMUG089836.1,l07322
NONMMUG010705.2,l07323
NONMMUG010707.2,l07324
NONMMUG055815.1,l07325
NONMMUG010708.2,l07326
NONMMUG010710.2,l07327
NONMMUG010717.2,l07328
NONMMUG056803.2,l07329
NONMMUG089635.1,l07330
NONMMUG010729.2,l07331
NONMMUG010730.2,l07332
NONMMUG010732.2,l07333
NONMMUG010733.2,l07334
NONMMUG010734.2,l07335
NONMMUG010735.2,l07336
NONMMUG010736.2,l07337
NONMMUG010737.2,l07338
NONMMUG010738.2,l07339
NONMMUG010739.2,l07340
NONMMUG010740.2,l07341
NONMMUG010743.2,l07342
NONMMUG010744.3,l07343
NONMMUG010745.2,l07344
NONMMUG010751.2,l07345
NONMMUG055847.1,l07346
NONMMUG010752.2,l07347
NONMMUG010755.2,l07348
NONMMUG010756.2,l07349
NONMMUG010760.2,l07350
NONMMUG010763.2,l07351
NONMMUG010765.2,l07352
NONMMUG010180.2,l07353
NONMMUG010770.2,l07354
NONMMUG010771.2,l07355
NONMMUG010774.2,l07356
NONMMUG010775.2,l07357
NONMMUG010779.2,l07358
NONMMUG010780.2,l07359
NONMMUG010782.2,l07360
NONMMUG010784.2,l07361
NONMMUG010786.2,l07362
NONMMUG010787.2,l07363
NONMMUG010790.2,l07364
NONMMUG010791.2,l07365
NONMMUG010792.2,l07366
NONMMUG010793.2,l07367
NONMMUG010794.2,l07368
NONMMUG010795.2,l07369
NONMMUG010796.2,l07370
NONMMUG010797.2,l07371
NONMMUG010798.2,l07372
NONMMUG010799.2,l07373
NONMMUG010800.2,l07374
NONMMUG010801.2,l07375
NONMMUG010802.2,l07376
NONMMUG010803.2,l07377
NONMMUG010804.2,l07378
NONMMUG010805.2,l07379
NONMMUG010807.2,l07380
NONMMUG010810.3,l07381
NONMMUG056860.1,l07382
NONMMUG010812.2,l07383
NONMMUG010813.2,l07384
NONMMUG010814.2,l07385
NONMMUG010815.2,l07386
NONMMUG010817.2,l07387
NONMMUG010818.2,l07388
NONMMUG010819.2,l07389
NONMMUG056864.2,l07390
NONMMUG010184.2,l07391
NONMMUG010822.2,l07392
NONMMUG010824.2,l07393
NONMMUG010825.2,l07394
NONMMUG010833.2,l07395
NONMMUG010834.2,l07396
NONMMUG056871.1,l07397
NONMMUG056876.1,l07398
NONMMUG010835.2,l07399
NONMMUG056878.2,l07400
NONMMUG010838.2,l07401
NONMMUG056881.2,l07402
NONMMUG010840.2,l07403
NONMMUG010841.2,l07404
NONMMUG010842.3,l07405
NONMMUG010843.2,l07406
NONMMUG010846.3,l07407
NONMMUG010848.3,l07408
NONMMUG056894.1,l07409
NONMMUG010852.2,l07410
NONMMUG010853.2,l07411
NONMMUG010854.2,l07412
NONMMUG010855.2,l07413
NONMMUG010856.2,l07414
NONMMUG010857.2,l07415
NONMMUG010858.3,l07416
NONMMUG089648.1,l07417
NONMMUG010859.2,l07418
NONMMUG010862.2,l07419
NONMMUG010864.2,l07420
NONMMUG010865.2,l07421
NONMMUG010866.2,l07422
NONMMUG010868.2,l07423
NONMMUG056897.1,l07424
NONMMUG010869.2,l07425
NONMMUG010870.2,l07426
NONMMUG010871.2,l07427
NONMMUG010872.2,l07428
NONMMUG010873.2,l07429
NONMMUG010874.2,l07430
NONMMUG010875.2,l07431
NONMMUG010876.3,l07432
NONMMUG010877.2,l07433
NONMMUG055558.2,l07434
NONMMUG010886.2,l07435
NONMMUG010887.2,l07436
NONMMUG010888.2,l07437
NONMMUG010889.2,l07438
NONMMUG056903.1,l07439
NONMMUG010890.2,l07440
NONMMUG010892.2,l07441
NONMMUG010894.2,l07442
NONMMUG010895.2,l07443
NONMMUG010896.2,l07444
NONMMUG010897.2,l07445
NONMMUG010898.2,l07446
NONMMUG010899.2,l07447
NONMMUG010902.2,l07448
NONMMUG010903.2,l07449
NONMMUG010906.2,l07450
NONMMUG055933.1,l07451
NONMMUG010907.2,l07452
NONMMUG010908.2,l07453
NONMMUG056912.1,l07454
NONMMUG010909.2,l07455
NONMMUG010910.2,l07456
NONMMUG055934.1,l07457
NONMMUG056913.1,l07458
NONMMUG010911.2,l07459
NONMMUG056914.1,l07460
NONMMUG055935.1,l07461
NONMMUG056915.1,l07462
NONMMUG056918.1,l07463
NONMMUG010913.2,l07464
NONMMUG010914.2,l07465
NONMMUG010915.3,l07466
NONMMUG055937.1,l07467
NONMMUG010919.2,l07468
NONMMUG010920.2,l07469
NONMMUG010921.2,l07470
NONMMUG010922.2,l07471
NONMMUG010923.2,l07472
NONMMUG010924.2,l07473
NONMMUG010925.2,l07474
NONMMUG010926.2,l07475
NONMMUG010929.2,l07476
NONMMUG010930.2,l07477
NONMMUG010931.2,l07478
NONMMUG010932.2,l07479
NONMMUG010934.2,l07480
NONMMUG010935.2,l07481
NONMMUG010937.2,l07482
NONMMUG010938.2,l07483
NONMMUG010939.2,l07484
NONMMUG010940.2,l07485
NONMMUG010941.2,l07486
NONMMUG010945.2,l07487
NONMMUG010951.2,l07488
NONMMUG089668.1,l07489
NONMMUG010957.2,l07490
NONMMUG056930.1,l07491
NONMMUG010970.2,l07492
NONMMUG010972.2,l07493
NONMMUG010973.2,l07494
NONMMUG010974.2,l07495
NONMMUG055955.1,l07496
NONMMUG010976.3,l07497
NONMMUG056942.1,l07498
NONMMUG056943.1,l07499
NONMMUG056945.1,l07500
NONMMUG056948.1,l07501
NONMMUG010978.2,l07502
NONMMUG010979.2,l07503
NONMMUG010983.2,l07504
NONMMUG089885.1,l07505
NONMMUG010985.2,l07506
NONMMUG010988.2,l07507
NONMMUG010989.2,l07508
NONMMUG010990.2,l07509
NONMMUG010992.2,l07510
NONMMUG010997.2,l07511
NONMMUG010998.3,l07512
NONMMUG011000.3,l07513
NONMMUG011001.2,l07514
NONMMUG011008.2,l07515
NONMMUG055968.2,l07516
NONMMUG011009.2,l07517
NONMMUG011010.3,l07518
NONMMUG011011.2,l07519
NONMMUG011014.2,l07520
NONMMUG011016.2,l07521
NONMMUG011017.2,l07522
NONMMUG011018.2,l07523
NONMMUG011019.2,l07524
NONMMUG011021.2,l07525
NONMMUG011023.2,l07526
NONMMUG089672.1,l07527
NONMMUG011025.3,l07528
NONMMUG056976.1,l07529
NONMMUG011028.2,l07530
NONMMUG011030.2,l07531
NONMMUG055561.2,l07532
NONMMUG011033.2,l07533
NONMMUG011035.2,l07534
NONMMUG011036.2,l07535
NONMMUG089675.1,l07536
NONMMUG011038.2,l07537
NONMMUG011042.2,l07538
NONMMUG011043.2,l07539
NONMMUG011048.2,l07540
NONMMUG011050.2,l07541
NONMMUG011051.2,l07542
NONMMUG011053.2,l07543
NONMMUG011055.2,l07544
NONMMUG011057.2,l07545
NONMMUG011059.2,l07546
NONMMUG011060.2,l07547
NONMMUG011061.2,l07548
NONMMUG011062.2,l07549
NONMMUG011063.2,l07550
NONMMUG011064.2,l07551
NONMMUG011065.2,l07552
NONMMUG056582.2,l07553
NONMMUG011069.2,l07554
NONMMUG011072.2,l07555
NONMMUG056996.1,l07556
NONMMUG011074.2,l07557
NONMMUG011075.2,l07558
NONMMUG011077.2,l07559
NONMMUG011078.2,l07560
NONMMUG011079.2,l07561
NONMMUG011081.2,l07562
NONMMUG011082.2,l07563
NONMMUG011083.2,l07564
NONMMUG011084.2,l07565
NONMMUG011085.2,l07566
NONMMUG011086.2,l07567
NONMMUG011091.2,l07568
NONMMUG011092.2,l07569
NONMMUG056008.1,l07570
NONMMUG011093.2,l07571
NONMMUG011094.2,l07572
NONMMUG056009.1,l07573
NONMMUG056012.1,l07574
NONMMUG011097.2,l07575
NONMMUG011100.2,l07576
NONMMUG011101.2,l07577
NONMMUG011102.2,l07578
NONMMUG011107.2,l07579
NONMMUG011108.2,l07580
NONMMUG011109.2,l07581
NONMMUG011116.2,l07582
NONMMUG011117.2,l07583
NONMMUG011118.2,l07584
NONMMUG011119.2,l07585
NONMMUG011120.2,l07586
NONMMUG011122.2,l07587
NONMMUG011124.2,l07588
NONMMUG011125.2,l07589
NONMMUG011126.2,l07590
NONMMUG011127.2,l07591
NONMMUG011128.2,l07592
NONMMUG011131.2,l07593
NONMMUG056028.1,l07594
NONMMUG011134.2,l07595
NONMMUG011137.2,l07596
NONMMUG011138.2,l07597
NONMMUG011139.2,l07598
NONMMUG011140.2,l07599
NONMMUG011141.2,l07600
NONMMUG011142.2,l07601
NONMMUG011143.2,l07602
NONMMUG011144.2,l07603
NONMMUG011145.2,l07604
NONMMUG011147.2,l07605
NONMMUG011148.2,l07606
NONMMUG011149.2,l07607
NONMMUG011150.2,l07608
NONMMUG011152.2,l07609
NONMMUG011154.2,l07610
NONMMUG011155.2,l07611
NONMMUG011156.2,l07612
NONMMUG011158.2,l07613
NONMMUG011159.2,l07614
NONMMUG011160.2,l07615
NONMMUG011163.2,l07616
NONMMUG089918.1,l07617
NONMMUG011166.2,l07618
NONMMUG011167.2,l07619
NONMMUG011168.3,l07620
NONMMUG011169.2,l07621
NONMMUG057023.1,l07622
NONMMUG011170.2,l07623
NONMMUG011172.2,l07624
NONMMUG011173.2,l07625
NONMMUG011174.2,l07626
NONMMUG011177.2,l07627
NONMMUG011178.2,l07628
NONMMUG011179.2,l07629
NONMMUG057028.2,l07630
NONMMUG011186.2,l07631
NONMMUG011187.2,l07632
NONMMUG011188.2,l07633
NONMMUG011189.2,l07634
NONMMUG011190.2,l07635
NONMMUG089696.1,l07636
NONMMUG011193.2,l07637
NONMMUG011194.3,l07638
NONMMUG011195.2,l07639
NONMMUG056060.1,l07640
NONMMUG011196.2,l07641
NONMMUG056063.1,l07642
NONMMUG089923.1,l07643
NONMMUG056077.1,l07644
NONMMUG011198.2,l07645
NONMMUG011199.3,l07646
NONMMUG011201.2,l07647
NONMMUG011202.2,l07648
NONMMUG011203.3,l07649
NONMMUG011204.2,l07650
NONMMUG011205.2,l07651
NONMMUG056095.1,l07652
NONMMUG011206.2,l07653
NONMMUG057058.1,l07654
NONMMUG011207.2,l07655
NONMMUG011208.2,l07656
NONMMUG011209.2,l07657
NONMMUG056097.1,l07658
NONMMUG056098.1,l07659
NONMMUG056100.1,l07660
NONMMUG056105.1,l07661
NONMMUG057064.1,l07662
NONMMUG057065.1,l07663
NONMMUG011211.2,l07664
NONMMUG056106.1,l07665
NONMMUG057066.1,l07666
NONMMUG057067.1,l07667
NONMMUG057072.1,l07668
NONMMUG057074.1,l07669
NONMMUG057075.1,l07670
NONMMUG011214.2,l07671
NONMMUG011215.2,l07672
NONMMUG011218.2,l07673
NONMMUG011219.2,l07674
NONMMUG011220.2,l07675
NONMMUG057078.1,l07676
NONMMUG011221.2,l07677
NONMMUG011223.2,l07678
NONMMUG011224.2,l07679
NONMMUG011225.2,l07680
NONMMUG011226.2,l07681
NONMMUG011229.3,l07682
NONMMUG011231.2,l07683
NONMMUG011232.2,l07684
NONMMUG089700.1,l07685
NONMMUG011233.2,l07686
NONMMUG011234.2,l07687
NONMMUG011236.2,l07688
NONMMUG011237.3,l07689
NONMMUG011238.2,l07690
NONMMUG010202.2,l07691
NONMMUG011249.2,l07692
NONMMUG011251.2,l07693
NONMMUG089704.1,l07694
NONMMUG011252.2,l07695
NONMMUG011253.2,l07696
NONMMUG011254.2,l07697
NONMMUG011255.2,l07698
NONMMUG089707.1,l07699
NONMMUG011256.2,l07700
NONMMUG011260.3,l07701
NONMMUG011261.2,l07702
NONMMUG011262.2,l07703
NONMMUG011263.2,l07704
NONMMUG057086.2,l07705
NONMMUG011265.3,l07706
NONMMUG056125.1,l07707
NONMMUG056126.1,l07708
NONMMUG011266.3,l07709
NONMMUG011267.2,l07710
NONMMUG056127.1,l07711
NONMMUG011269.3,l07712
NONMMUG056128.1,l07713
NONMMUG056134.1,l07714
NONMMUG011271.2,l07715
NONMMUG089709.1,l07716
NONMMUG011275.2,l07717
NONMMUG011276.2,l07718
NONMMUG011277.2,l07719
NONMMUG011278.2,l07720
NONMMUG011272.2,l07721
NONMMUG011279.2,l07722
NONMMUG010204.2,l07723
NONMMUG010205.2,l07724
NONMMUG089937.1,l07725
NONMMUG011285.2,l07726
NONMMUG011287.2,l07727
NONMMUG056139.1,l07728
NONMMUG011293.3,l07729
NONMMUG011292.2,l07730
NONMMUG011294.2,l07731
NONMMUG056141.1,l07732
NONMMUG011295.2,l07733
NONMMUG011297.2,l07734
NONMMUG011299.2,l07735
NONMMUG011300.2,l07736
NONMMUG011303.2,l07737
NONMMUG011304.2,l07738
NONMMUG011305.2,l07739
NONMMUG011306.2,l07740
NONMMUG011311.2,l07741
NONMMUG011313.2,l07742
NONMMUG011314.2,l07743
NONMMUG011316.2,l07744
NONMMUG011317.2,l07745
NONMMUG011318.2,l07746
NONMMUG011319.2,l07747
NONMMUG011320.2,l07748
NONMMUG011321.2,l07749
NONMMUG057099.1,l07750
NONMMUG011329.2,l07751
NONMMUG011331.2,l07752
NONMMUG011332.2,l07753
NONMMUG011333.2,l07754
NONMMUG011334.3,l07755
NONMMUG011335.2,l07756
NONMMUG056171.1,l07757
NONMMUG056172.1,l07758
NONMMUG011338.3,l07759
NONMMUG089715.1,l07760
NONMMUG011341.2,l07761
NONMMUG056177.1,l07762
NONMMUG011344.2,l07763
NONMMUG011345.3,l07764
NONMMUG011346.2,l07765
NONMMUG011348.2,l07766
NONMMUG011349.2,l07767
NONMMUG011354.2,l07768
NONMMUG011356.2,l07769
NONMMUG011357.2,l07770
NONMMUG056188.1,l07771
NONMMUG011359.2,l07772
NONMMUG057110.1,l07773
NONMMUG011360.2,l07774
NONMMUG011361.2,l07775
NONMMUG011365.2,l07776
NONMMUG011366.2,l07777
NONMMUG056590.2,l07778
NONMMUG011369.2,l07779
NONMMUG056591.1,l07780
NONMMUG011371.2,l07781
NONMMUG011377.3,l07782
NONMMUG010211.2,l07783
NONMMUG011382.2,l07784
NONMMUG011384.2,l07785
NONMMUG011386.2,l07786
NONMMUG089726.1,l07787
NONMMUG011388.2,l07788
NONMMUG011389.2,l07789
NONMMUG011390.2,l07790
NONMMUG011392.2,l07791
NONMMUG011395.2,l07792
NONMMUG011396.2,l07793
NONMMUG011399.2,l07794
NONMMUG011402.2,l07795
NONMMUG011403.2,l07796
NONMMUG011406.2,l07797
NONMMUG011407.2,l07798
NONMMUG011408.2,l07799
NONMMUG011409.3,l07800
NONMMUG056211.1,l07801
NONMMUG056212.1,l07802
NONMMUG057147.1,l07803
NONMMUG057148.1,l07804
NONMMUG056214.1,l07805
NONMMUG056215.1,l07806
NONMMUG010214.3,l07807
NONMMUG057154.2,l07808
NONMMUG011412.2,l07809
NONMMUG011414.2,l07810
NONMMUG011417.2,l07811
NONMMUG056220.1,l07812
NONMMUG011418.2,l07813
NONMMUG011422.2,l07814
NONMMUG011423.2,l07815
NONMMUG011426.2,l07816
NONMMUG011428.2,l07817
NONMMUG011429.2,l07818
NONMMUG011430.2,l07819
NONMMUG011432.2,l07820
NONMMUG011433.2,l07821
NONMMUG011435.2,l07822
NONMMUG011441.2,l07823
NONMMUG011442.2,l07824
NONMMUG011443.2,l07825
NONMMUG011444.2,l07826
NONMMUG011445.2,l07827
NONMMUG011448.2,l07828
NONMMUG011450.2,l07829
NONMMUG011452.2,l07830
NONMMUG011453.2,l07831
NONMMUG011454.2,l07832
NONMMUG011455.2,l07833
NONMMUG011456.2,l07834
NONMMUG011457.2,l07835
NONMMUG011458.2,l07836
NONMMUG011459.2,l07837
NONMMUG011460.2,l07838
NONMMUG011461.2,l07839
NONMMUG011462.2,l07840
NONMMUG011463.2,l07841
NONMMUG011464.2,l07842
NONMMUG011465.2,l07843
NONMMUG011466.2,l07844
NONMMUG011468.2,l07845
NONMMUG011469.2,l07846
NONMMUG056234.1,l07847
NONMMUG011470.2,l07848
NONMMUG056235.1,l07849
NONMMUG056237.1,l07850
NONMMUG056238.1,l07851
NONMMUG011474.2,l07852
NONMMUG011476.2,l07853
NONMMUG011477.2,l07854
NONMMUG056254.1,l07855
NONMMUG011478.2,l07856
NONMMUG011485.2,l07857
NONMMUG011486.2,l07858
NONMMUG011487.2,l07859
NONMMUG011488.2,l07860
NONMMUG010218.2,l07861
NONMMUG010219.2,l07862
NONMMUG011493.2,l07863
NONMMUG011492.2,l07864
NONMMUG057230.1,l07865
NONMMUG011494.2,l07866
NONMMUG011495.2,l07867
NONMMUG011497.2,l07868
NONMMUG011498.2,l07869
NONMMUG011499.2,l07870
NONMMUG011500.2,l07871
NONMMUG011501.2,l07872
NONMMUG011502.2,l07873
NONMMUG011503.2,l07874
NONMMUG011504.2,l07875
NONMMUG011505.2,l07876
NONMMUG011506.2,l07877
NONMMUG057243.1,l07878
NONMMUG011508.2,l07879
NONMMUG011509.2,l07880
NONMMUG011510.2,l07881
NONMMUG011511.3,l07882
NONMMUG011512.2,l07883
NONMMUG011513.2,l07884
NONMMUG010220.2,l07885
NONMMUG010221.2,l07886
NONMMUG011517.2,l07887
NONMMUG011519.2,l07888
NONMMUG011523.2,l07889
NONMMUG011524.2,l07890
NONMMUG010222.2,l07891
NONMMUG010223.2,l07892
NONMMUG010225.2,l07893
NONMMUG010226.2,l07894
NONMMUG010229.2,l07895
NONMMUG011531.2,l07896
NONMMUG010230.2,l07897
NONMMUG011532.2,l07898
NONMMUG011533.2,l07899
NONMMUG011534.2,l07900
NONMMUG011535.2,l07901
NONMMUG011536.2,l07902
NONMMUG011537.2,l07903
NONMMUG011538.2,l07904
NONMMUG011539.2,l07905
NONMMUG011540.2,l07906
NONMMUG011541.2,l07907
NONMMUG010232.2,l07908
NONMMUG011544.2,l07909
NONMMUG011545.2,l07910
NONMMUG011546.2,l07911
NONMMUG011547.2,l07912
NONMMUG011548.2,l07913
NONMMUG011549.2,l07914
NONMMUG011550.2,l07915
NONMMUG056313.1,l07916
NONMMUG011551.2,l07917
NONMMUG011552.2,l07918
NONMMUG011553.2,l07919
NONMMUG010235.3,l07920
NONMMUG011554.2,l07921
NONMMUG011555.2,l07922
NONMMUG011556.2,l07923
NONMMUG011557.2,l07924
NONMMUG011558.2,l07925
NONMMUG010234.2,l07926
NONMMUG011561.3,l07927
NONMMUG011564.2,l07928
NONMMUG010236.2,l07929
NONMMUG011566.2,l07930
NONMMUG010237.2,l07931
NONMMUG011568.2,l07932
NONMMUG011569.2,l07933
NONMMUG011571.2,l07934
NONMMUG011572.2,l07935
NONMMUG011570.2,l07936
NONMMUG011573.2,l07937
NONMMUG011574.2,l07938
NONMMUG089738.1,l07939
NONMMUG011575.2,l07940
NONMMUG089966.1,l07941
NONMMUG010238.2,l07942
NONMMUG011576.2,l07943
NONMMUG011577.2,l07944
NONMMUG011578.2,l07945
NONMMUG011579.2,l07946
NONMMUG010239.2,l07947
NONMMUG011580.2,l07948
NONMMUG011581.2,l07949
NONMMUG011583.2,l07950
NONMMUG011585.2,l07951
NONMMUG011589.2,l07952
NONMMUG011590.2,l07953
NONMMUG057382.1,l07954
NONMMUG011591.2,l07955
NONMMUG011593.2,l07956
NONMMUG011595.2,l07957
NONMMUG011597.2,l07958
NONMMUG057384.1,l07959
NONMMUG011598.2,l07960
NONMMUG010240.2,l07961
NONMMUG056347.1,l07962
NONMMUG011599.2,l07963
NONMMUG011601.2,l07964
NONMMUG011602.2,l07965
NONMMUG011603.2,l07966
NONMMUG011604.2,l07967
NONMMUG010241.2,l07968
NONMMUG010242.2,l07969
NONMMUG057389.1,l07970
NONMMUG011606.2,l07971
NONMMUG011607.2,l07972
NONMMUG011608.2,l07973
NONMMUG011609.2,l07974
NONMMUG011611.2,l07975
NONMMUG011612.2,l07976
NONMMUG011613.2,l07977
NONMMUG010243.2,l07978
NONMMUG011615.2,l07979
NONMMUG011618.2,l07980
NONMMUG010244.2,l07981
NONMMUG010245.2,l07982
NONMMUG011619.2,l07983
NONMMUG011621.2,l07984
NONMMUG010246.2,l07985
NONMMUG011622.2,l07986
NONMMUG011623.2,l07987
NONMMUG011626.2,l07988
NONMMUG011627.2,l07989
NONMMUG011629.3,l07990
NONMMUG011630.2,l07991
NONMMUG011631.2,l07992
NONMMUG089971.1,l07993
NONMMUG011633.2,l07994
NONMMUG011634.2,l07995
NONMMUG010247.2,l07996
NONMMUG011635.2,l07997
NONMMUG011639.2,l07998
NONMMUG011640.2,l07999
NONMMUG011641.2,l08000
NONMMUG011642.2,l08001
NONMMUG011643.2,l08002
NONMMUG011644.2,l08003
NONMMUG011646.2,l08004
NONMMUG011647.2,l08005
NONMMUG011648.2,l08006
NONMMUG011649.2,l08007
NONMMUG010248.2,l08008
NONMMUG011652.2,l08009
NONMMUG011654.2,l08010
NONMMUG011655.2,l08011
NONMMUG010249.2,l08012
NONMMUG011658.2,l08013
NONMMUG010250.2,l08014
NONMMUG010251.2,l08015
NONMMUG011660.2,l08016
NONMMUG011661.2,l08017
NONMMUG011662.2,l08018
NONMMUG011663.2,l08019
NONMMUG011665.2,l08020
NONMMUG011666.2,l08021
NONMMUG011667.2,l08022
NONMMUG010252.3,l08023
NONMMUG011672.2,l08024
NONMMUG011673.2,l08025
NONMMUG011674.2,l08026
NONMMUG011675.2,l08027
NONMMUG011676.2,l08028
NONMMUG011677.2,l08029
NONMMUG011678.2,l08030
NONMMUG056372.1,l08031
NONMMUG011680.2,l08032
NONMMUG089581.1,l08033
NONMMUG010256.2,l08034
NONMMUG011683.3,l08035
NONMMUG011684.2,l08036
NONMMUG056373.1,l08037
NONMMUG010257.2,l08038
NONMMUG011688.2,l08039
NONMMUG056376.1,l08040
NONMMUG011691.2,l08041
NONMMUG011693.2,l08042
NONMMUG011694.2,l08043
NONMMUG011697.2,l08044
NONMMUG011698.2,l08045
NONMMUG011699.2,l08046
NONMMUG011700.2,l08047
NONMMUG011701.2,l08048
NONMMUG011703.2,l08049
NONMMUG011707.3,l08050
NONMMUG011709.2,l08051
NONMMUG011712.2,l08052
NONMMUG010259.2,l08053
NONMMUG011713.2,l08054
NONMMUG011714.2,l08055
NONMMUG011715.2,l08056
NONMMUG011717.2,l08057
NONMMUG011718.2,l08058
NONMMUG011719.2,l08059
NONMMUG011721.2,l08060
NONMMUG011723.2,l08061
NONMMUG011726.2,l08062
NONMMUG011727.2,l08063
NONMMUG011728.2,l08064
NONMMUG011730.2,l08065
NONMMUG011732.2,l08066
NONMMUG011733.2,l08067
NONMMUG011734.2,l08068
NONMMUG011735.2,l08069
NONMMUG011736.2,l08070
NONMMUG011737.2,l08071
NONMMUG011738.2,l08072
NONMMUG011739.2,l08073
NONMMUG013665.2,l08074
NONMMUG013666.2,l08075
NONMMUG059207.2,l08076
NONMMUG059192.1,l08077
NONMMUG059193.1,l08078
NONMMUG059194.1,l08079
NONMMUG059195.1,l08080
NONMMUG012200.2,l08081
NONMMUG059196.1,l08082
NONMMUG059197.1,l08083
NONMMUG059198.1,l08084
NONMMUG059199.1,l08085
NONMMUG059200.1,l08086
NONMMUG059201.1,l08087
NONMMUG059202.1,l08088
NONMMUG013669.2,l08089
NONMMUG013671.2,l08090
NONMMUG059203.1,l08091
NONMMUG058281.1,l08092
NONMMUG059204.1,l08093
NONMMUG059205.1,l08094
NONMMUG013672.3,l08095
NONMMUG059208.1,l08096
NONMMUG058282.1,l08097
NONMMUG013673.2,l08098
NONMMUG013674.2,l08099
NONMMUG013680.2,l08100
NONMMUG013681.2,l08101
NONMMUG013683.2,l08102
NONMMUG013685.2,l08103
NONMMUG059272.1,l08104
NONMMUG013687.2,l08105
NONMMUG058290.1,l08106
NONMMUG013688.2,l08107
NONMMUG013690.2,l08108
NONMMUG013691.2,l08109
NONMMUG013694.2,l08110
NONMMUG013695.2,l08111
NONMMUG013696.2,l08112
NONMMUG013697.2,l08113
NONMMUG013698.2,l08114
NONMMUG013699.2,l08115
NONMMUG013700.2,l08116
NONMMUG013701.2,l08117
NONMMUG013703.2,l08118
NONMMUG013704.2,l08119
NONMMUG013705.3,l08120
NONMMUG058295.1,l08121
NONMMUG058296.1,l08122
NONMMUG058298.1,l08123
NONMMUG058299.1,l08124
NONMMUG013706.2,l08125
NONMMUG058300.1,l08126
NONMMUG058301.1,l08127
NONMMUG058302.2,l08128
NONMMUG013708.2,l08129
NONMMUG012201.2,l08130
NONMMUG013709.2,l08131
NONMMUG012202.2,l08132
NONMMUG013711.2,l08133
NONMMUG013712.2,l08134
NONMMUG013715.2,l08135
NONMMUG013716.2,l08136
NONMMUG013718.2,l08137
NONMMUG058350.1,l08138
NONMMUG059287.1,l08139
NONMMUG058352.1,l08140
NONMMUG059288.1,l08141
NONMMUG058357.1,l08142
NONMMUG058361.1,l08143
NONMMUG059292.1,l08144
NONMMUG058362.1,l08145
