NoncodeGeneID,l_ID
NONMMUG048980.1,l00212
NONMMUG048981.1,l00213
NONMMUG048982.1,l00214
NONMMUG048983.1,l00215
NONMMUG048984.1,l00216
NONMMUG048985.1,l00217
NONMMUG048986.1,l00218
NONMMUG048987.1,l00219
NONMMUG048988.1,l00220
NONMMUG048989.1,l00221
NONMMUG048990.1,l00222
NONMMUG048991.1,l00223
NONMMUG048992.1,l00224
NONMMUG048993.1,l00225
NONMMUG048994.1,l00226
NONMMUG048995.1,l00227
NONMMUG048996.1,l00228
NONMMUG048997.1,l00229
NONMMUG048998.1,l00230
NONMMUG048999.1,l00231
NONMMUG049000.1,l00232
NONMMUG049001.1,l00233
NONMMUG049002.1,l00234
NONMMUG049003.1,l00235
NONMMUG049004.1,l00236
NONMMUG049005.1,l00237
NONMMUG049006.1,l00238
NONMMUG049007.1,l00239
NONMMUG049008.1,l00240
NONMMUG049009.1,l00241
NONMMUG049010.1,l00242
NONMMUG049011.1,l00243
NONMMUG049012.1,l00244
NONMMUG049013.1,l00245
NONMMUG049014.1,l00246
NONMMUG049015.1,l00247
NONMMUG049016.1,l00248
NONMMUG049017.1,l00249
NONMMUG049018.1,l00250
NONMMUG049019.1,l00251
NONMMUG049020.1,l00252
NONMMUG001637.2,l00253
NONMMUG049021.1,l00254
NONMMUG049022.1,l00255
NONMMUG049023.1,l00256
NONMMUG049024.1,l00257
NONMMUG001638.2,l00258
NONMMUG001646.2,l00259
NONMMUG001647.2,l00260
NONMMUG001648.2,l00261
NONMMUG001650.2,l00262
NONMMUG001651.2,l00263
NONMMUG001652.2,l00264
NONMMUG047303.1,l00265
NONMMUG000114.2,l00266
NONMMUG001656.2,l00267
NONMMUG049030.1,l00268
NONMMUG001657.2,l00269
NONMMUG049031.2,l00270
NONMMUG001658.2,l00271
NONMMUG001659.2,l00272
NONMMUG000117.2,l00273
NONMMUG001660.2,l00274
NONMMUG001661.2,l00275
NONMMUG001662.2,l00276
NONMMUG001664.2,l00277
NONMMUG001665.2,l00278
NONMMUG001669.2,l00279
NONMMUG001671.2,l00280
NONMMUG001674.2,l00281
NONMMUG001676.2,l00282
NONMMUG001679.2,l00283
NONMMUG049033.1,l00284
NONMMUG001680.2,l00285
NONMMUG001681.2,l00286
NONMMUG001682.2,l00287
NONMMUG001683.2,l00288
NONMMUG001684.2,l00289
NONMMUG001685.2,l00290
NONMMUG001686.2,l00291
NONMMUG001687.2,l00292
NONMMUG001689.2,l00293
NONMMUG001692.2,l00294
NONMMUG000118.2,l00295
NONMMUG001697.2,l00296
NONMMUG047317.1,l00297
NONMMUG047318.1,l00298
NONMMUG001698.2,l00299
NONMMUG049034.1,l00300
NONMMUG049035.1,l00301
NONMMUG001699.2,l00302
NONMMUG049036.1,l00303
NONMMUG001702.2,l00304
NONMMUG001703.2,l00305
NONMMUG001704.2,l00306
NONMMUG049037.1,l00307
NONMMUG001706.2,l00308
NONMMUG047319.1,l00309
NONMMUG001708.2,l00310
NONMMUG047320.1,l00311
NONMMUG001709.2,l00312
NONMMUG001711.2,l00313
NONMMUG047321.1,l00314
NONMMUG001712.2,l00315
NONMMUG001713.2,l00316
NONMMUG001714.2,l00317
NONMMUG001715.2,l00318
NONMMUG001716.2,l00319
NONMMUG001717.2,l00320
NONMMUG001718.2,l00321
NONMMUG001721.2,l00322
NONMMUG001724.2,l00323
NONMMUG001728.2,l00324
NONMMUG047329.1,l00325
NONMMUG001731.2,l00326
NONMMUG001732.2,l00327
NONMMUG001733.2,l00328
NONMMUG001734.2,l00329
NONMMUG000121.2,l00330
NONMMUG000122.2,l00331
NONMMUG001741.2,l00332
NONMMUG001743.2,l00333
NONMMUG049048.1,l00334
NONMMUG001744.2,l00335
NONMMUG001745.2,l00336
NONMMUG001746.2,l00337
NONMMUG001747.2,l00338
NONMMUG001749.2,l00339
NONMMUG001754.2,l00340
NONMMUG001753.2,l00341
NONMMUG001755.2,l00342
NONMMUG001756.2,l00343
NONMMUG001757.2,l00344
NONMMUG001758.3,l00345
NONMMUG000123.2,l00346
NONMMUG001760.2,l00347
NONMMUG001761.2,l00348
NONMMUG001762.2,l00349
NONMMUG001763.2,l00350
NONMMUG001766.3,l00351
NONMMUG001764.2,l00352
NONMMUG001765.2,l00353
NONMMUG001767.2,l00354
NONMMUG001768.2,l00355
NONMMUG001769.2,l00356
NONMMUG001770.2,l00357
NONMMUG001771.2,l00358
NONMMUG000124.2,l00359
NONMMUG049056.1,l00360
NONMMUG001775.2,l00361
NONMMUG001776.2,l00362
NONMMUG001777.2,l00363
NONMMUG000125.2,l00364
NONMMUG001778.2,l00365
NONMMUG049061.1,l00366
NONMMUG001781.2,l00367
NONMMUG001782.2,l00368
NONMMUG001783.2,l00369
NONMMUG001784.2,l00370
NONMMUG001785.2,l00371
NONMMUG000126.2,l00372
NONMMUG000127.2,l00373
NONMMUG000128.2,l00374
NONMMUG001789.2,l00375
NONMMUG001790.2,l00376
NONMMUG047372.1,l00377
NONMMUG001791.2,l00378
NONMMUG047374.1,l00379
NONMMUG001792.2,l00380
NONMMUG047375.1,l00381
NONMMUG001793.2,l00382
NONMMUG047376.1,l00383
NONMMUG001796.2,l00384
NONMMUG001799.2,l00385
NONMMUG001809.2,l00386
NONMMUG001817.2,l00387
NONMMUG001818.2,l00388
NONMMUG001820.2,l00389
NONMMUG001821.2,l00390
NONMMUG001822.2,l00391
NONMMUG047389.1,l00392
NONMMUG001823.2,l00393
NONMMUG001824.2,l00394
NONMMUG001825.2,l00395
NONMMUG001826.2,l00396
NONMMUG001827.2,l00397
NONMMUG047390.1,l00398
NONMMUG001829.2,l00399
NONMMUG001834.2,l00400
NONMMUG001838.2,l00401
NONMMUG001839.2,l00402
NONMMUG001841.2,l00403
NONMMUG001842.2,l00404
NONMMUG001843.2,l00405
NONMMUG047393.1,l00406
NONMMUG001847.2,l00407
NONMMUG001848.2,l00408
NONMMUG001850.2,l00409
NONMMUG001851.2,l00410
NONMMUG001852.2,l00411
NONMMUG001854.2,l00412
NONMMUG001855.2,l00413
NONMMUG001856.2,l00414
NONMMUG047394.1,l00415
NONMMUG001865.2,l00416
NONMMUG001866.2,l00417
NONMMUG001867.2,l00418
NONMMUG000130.2,l00419
NONMMUG001869.2,l00420
NONMMUG000131.2,l00421
NONMMUG001872.2,l00422
NONMMUG001873.2,l00423
NONMMUG047399.1,l00424
NONMMUG001876.2,l00425
NONMMUG001877.2,l00426
NONMMUG000132.2,l00427
NONMMUG001878.2,l00428
NONMMUG047405.1,l00429
NONMMUG087940.1,l00430
NONMMUG001881.2,l00431
NONMMUG001883.2,l00432
NONMMUG049083.1,l00433
NONMMUG001882.2,l00434
NONMMUG047408.1,l00435
NONMMUG001884.2,l00436
NONMMUG001885.2,l00437
NONMMUG001886.3,l00438
NONMMUG001887.3,l00439
NONMMUG001889.2,l00440
NONMMUG047420.1,l00441
NONMMUG047421.1,l00442
NONMMUG047424.1,l00443
NONMMUG001894.2,l00444
NONMMUG001897.3,l00445
NONMMUG047436.1,l00446
NONMMUG047437.1,l00447
NONMMUG001898.2,l00448
NONMMUG047438.1,l00449
NONMMUG001899.2,l00450
NONMMUG001900.2,l00451
NONMMUG001901.2,l00452
NONMMUG096624.1,l00453
NONMMUG087708.1,l00454
NONMMUG001903.2,l00455
NONMMUG001904.2,l00456
NONMMUG001905.2,l00457
NONMMUG001906.2,l00458
NONMMUG047439.1,l00459
NONMMUG047442.1,l00460
NONMMUG047443.1,l00461
NONMMUG047444.1,l00462
NONMMUG047445.1,l00463
NONMMUG047446.1,l00464
NONMMUG047447.1,l00465
NONMMUG001908.2,l00466
NONMMUG001913.2,l00467
NONMMUG000133.2,l00468
NONMMUG001914.2,l00469
NONMMUG001915.2,l00470
NONMMUG001917.2,l00471
NONMMUG001919.2,l00472
NONMMUG001922.2,l00473
NONMMUG001923.2,l00474
NONMMUG001924.2,l00475
NONMMUG001925.2,l00476
NONMMUG001926.2,l00477
NONMMUG001927.2,l00478
NONMMUG001928.2,l00479
NONMMUG001929.2,l00480
NONMMUG001930.2,l00481
NONMMUG001931.2,l00482
NONMMUG001932.2,l00483
NONMMUG046520.1,l00484
NONMMUG001935.2,l00485
NONMMUG001936.2,l00486
NONMMUG001937.2,l00487
NONMMUG001938.2,l00488
NONMMUG001939.2,l00489
NONMMUG001947.2,l00490
NONMMUG001948.2,l00491
NONMMUG001951.2,l00492
NONMMUG001953.2,l00493
NONMMUG001954.2,l00494
NONMMUG000140.2,l00495
NONMMUG001957.2,l00496
NONMMUG001958.2,l00497
NONMMUG001959.2,l00498
NONMMUG087944.1,l00499
NONMMUG001962.2,l00500
NONMMUG001963.2,l00501
NONMMUG001964.2,l00502
NONMMUG001965.2,l00503
NONMMUG047467.1,l00504
NONMMUG001975.2,l00505
NONMMUG049104.1,l00506
NONMMUG049105.1,l00507
NONMMUG049106.1,l00508
NONMMUG049107.1,l00509
NONMMUG049108.1,l00510
NONMMUG049109.1,l00511
NONMMUG001976.2,l00512
NONMMUG001977.2,l00513
NONMMUG001980.2,l00514
NONMMUG001981.2,l00515
NONMMUG001982.2,l00516
NONMMUG000142.2,l00517
NONMMUG001985.2,l00518
NONMMUG001993.2,l00519
NONMMUG001994.2,l00520
NONMMUG002002.2,l00521
NONMMUG002005.2,l00522
NONMMUG002008.2,l00523
NONMMUG002010.2,l00524
NONMMUG002011.2,l00525
NONMMUG002013.2,l00526
NONMMUG002016.2,l00527
NONMMUG002018.2,l00528
NONMMUG047484.1,l00529
NONMMUG002021.2,l00530
NONMMUG002025.2,l00531
NONMMUG002026.2,l00532
NONMMUG002028.2,l00533
NONMMUG002031.2,l00534
NONMMUG002032.2,l00535
NONMMUG002033.2,l00536
NONMMUG047488.1,l00537
NONMMUG002034.2,l00538
NONMMUG002035.2,l00539
NONMMUG002037.2,l00540
NONMMUG002038.2,l00541
NONMMUG047489.2,l00542
NONMMUG002040.2,l00543
NONMMUG002046.2,l00544
NONMMUG002047.2,l00545
NONMMUG047495.1,l00546
NONMMUG047496.1,l00547
NONMMUG002049.2,l00548
NONMMUG002050.2,l00549
NONMMUG049146.1,l00550
NONMMUG002051.2,l00551
NONMMUG002053.2,l00552
NONMMUG002054.2,l00553
NONMMUG002055.3,l00554
NONMMUG002057.2,l00555
NONMMUG002058.2,l00556
NONMMUG002060.2,l00557
NONMMUG047990.1,l00558
NONMMUG002061.2,l00559
NONMMUG002062.2,l00560
NONMMUG002063.2,l00561
NONMMUG047498.1,l00562
NONMMUG000145.2,l00563
NONMMUG002067.2,l00564
NONMMUG002069.2,l00565
NONMMUG002070.2,l00566
NONMMUG002073.2,l00567
NONMMUG002075.2,l00568
NONMMUG002076.2,l00569
NONMMUG002077.3,l00570
NONMMUG049151.1,l00571
NONMMUG002078.3,l00572
NONMMUG002082.2,l00573
NONMMUG002083.2,l00574
NONMMUG002085.2,l00575
NONMMUG000146.2,l00576
NONMMUG002086.2,l00577
NONMMUG002087.2,l00578
NONMMUG002088.2,l00579
NONMMUG049170.1,l00580
NONMMUG049177.1,l00581
NONMMUG002089.2,l00582
NONMMUG049178.1,l00583
NONMMUG002090.2,l00584
NONMMUG000147.2,l00585
NONMMUG002091.2,l00586
NONMMUG002092.2,l00587
NONMMUG002093.3,l00588
NONMMUG002095.3,l00589
NONMMUG047516.1,l00590
NONMMUG002098.2,l00591
NONMMUG002099.2,l00592
NONMMUG002102.3,l00593
NONMMUG000148.2,l00594
NONMMUG002104.2,l00595
NONMMUG047992.1,l00596
NONMMUG000149.2,l00597
NONMMUG047523.1,l00598
NONMMUG002110.2,l00599
NONMMUG000150.2,l00600
NONMMUG049212.1,l00601
NONMMUG002112.2,l00602
NONMMUG002114.2,l00603
NONMMUG002117.2,l00604
NONMMUG049213.1,l00605
NONMMUG002118.2,l00606
NONMMUG002119.2,l00607
NONMMUG002120.2,l00608
NONMMUG087956.1,l00609
NONMMUG047524.1,l00610
NONMMUG002123.2,l00611
NONMMUG002125.2,l00612
NONMMUG002127.2,l00613
NONMMUG002130.2,l00614
NONMMUG002132.2,l00615
NONMMUG002133.2,l00616
NONMMUG002136.2,l00617
NONMMUG002137.2,l00618
NONMMUG002138.2,l00619
NONMMUG002140.2,l00620
NONMMUG002143.2,l00621
NONMMUG002144.2,l00622
NONMMUG002146.2,l00623
NONMMUG002147.2,l00624
NONMMUG002151.2,l00625
NONMMUG002152.2,l00626
NONMMUG002153.2,l00627
NONMMUG000151.2,l00628
NONMMUG002154.2,l00629
NONMMUG000152.2,l00630
NONMMUG002156.2,l00631
NONMMUG002157.2,l00632
NONMMUG002158.2,l00633
NONMMUG002159.2,l00634
NONMMUG002160.2,l00635
NONMMUG002161.2,l00636
NONMMUG002162.2,l00637
NONMMUG002164.2,l00638
NONMMUG002166.2,l00639
NONMMUG000153.2,l00640
NONMMUG000154.2,l00641
NONMMUG000155.2,l00642
NONMMUG002169.2,l00643
NONMMUG000156.2,l00644
NONMMUG002170.2,l00645
NONMMUG002171.2,l00646
NONMMUG002173.2,l00647
NONMMUG002174.2,l00648
NONMMUG002175.2,l00649
NONMMUG002176.2,l00650
NONMMUG002178.2,l00651
