NoncodeGeneID,tarName
NONMMUG001542.2,Tdp43
NONMMUG001544.2,Upf1
NONMMUG001544.2,Tdp43
NONMMUG001544.2,Fus
NONMMUG001545.2,Upf1
NONMMUG001545.2,Tdp43
NONMMUG001546.2,Fus
NONMMUG001546.2,FMRP
NONMMUG001547.2,Nova1
NONMMUG001547.2,Tdp43
NONMMUG001547.2,Fus
NONMMUG001547.2,FMRP
NONMMUG000113.2,Fus
NONMMUG001552.2,Upf1
NONMMUG001552.2,Tdp43
NONMMUG001552.2,Fus
NONMMUG001554.2,JARID2
NONMMUG001554.2,Upf1
NONMMUG001554.2,Fus
NONMMUG001554.2,Tdp43
NONMMUG001554.2,FMRP
NONMMUG001556.2,Upf1
NONMMUG001556.2,Tdp43
NONMMUG001556.2,Celf1
NONMMUG001556.2,Fus
NONMMUG001556.2,FMRP
NONMMUG001557.2,Upf1
NONMMUG001557.2,Fus
NONMMUG001557.2,Tdp43
NONMMUG001558.2,Tdp43
NONMMUG001558.2,Fus
NONMMUG048750.1,Tdp43
NONMMUG048750.1,Fus
NONMMUG001559.2,JARID2
NONMMUG001559.2,Upf1
NONMMUG001559.2,Mbnl1
NONMMUG001559.2,Ezh2
NONMMUG001559.2,Celf1
NONMMUG001559.2,Tdp43
NONMMUG001560.2,JARID2
NONMMUG001560.2,Upf1
NONMMUG001560.2,Tdp43
NONMMUG001560.2,Celf1
NONMMUG001564.2,Upf1
NONMMUG001564.2,Tdp43
NONMMUG001563.2,Upf1
NONMMUG001567.2,Upf1
NONMMUG048754.1,Upf1
NONMMUG001569.2,Upf1
NONMMUG001570.2,Tdp43
NONMMUG001570.2,Fus
NONMMUG001570.2,Upf1
NONMMUG047234.1,Tdp43
NONMMUG047235.1,Tdp43
NONMMUG047239.1,Tdp43
NONMMUG001572.2,Upf1
NONMMUG001572.2,Ezh2
NONMMUG001573.2,Upf1
NONMMUG001573.2,Ezh2
NONMMUG001576.3,Fus
NONMMUG001576.3,Tdp43
NONMMUG001576.3,Celf1
NONMMUG001578.2,Upf1
NONMMUG001578.2,Celf1
NONMMUG001578.2,Tdp43
NONMMUG001580.2,Fus
NONMMUG001583.2,Upf1
NONMMUG001583.2,Nova1
NONMMUG001583.2,Fus
NONMMUG001583.2,Tdp43
NONMMUG001583.2,FMRP
NONMMUG001584.2,Fus
NONMMUG001584.2,Tdp43
NONMMUG001584.2,Celf1
NONMMUG001585.2,Upf1
NONMMUG001585.2,Fus
NONMMUG001585.2,Tdp43
NONMMUG001585.2,Celf1
NONMMUG001586.2,Fus
NONMMUG001586.2,Tdp43
NONMMUG001586.2,FMRP
NONMMUG047244.1,Fus
NONMMUG047244.1,Tdp43
NONMMUG047244.1,Upf1
NONMMUG047244.1,Mbnl1
NONMMUG047244.1,Ezh2
NONMMUG001588.2,Fus
NONMMUG001588.2,Tdp43
NONMMUG001590.2,Upf1
NONMMUG001590.2,Mbnl1
NONMMUG001590.2,Fus
NONMMUG001590.2,Tdp43
NONMMUG001590.2,Ezh2
NONMMUG001592.2,Tdp43
NONMMUG048759.1,Tdp43
NONMMUG001593.2,Tdp43
NONMMUG001601.3,Upf1
NONMMUG001601.3,Tdp43
NONMMUG047267.1,Tdp43
NONMMUG001604.2,Rbfox3
NONMMUG001604.2,Tdp43
NONMMUG001604.2,Fus
NONMMUG001604.2,RFOX2
NONMMUG001604.2,TYY1
NONMMUG001604.2,DAZL
NONMMUG001604.2,FMRP
NONMMUG048775.1,Tdp43
NONMMUG001605.2,Tdp43
NONMMUG001605.2,Fus
NONMMUG047283.1,Tdp43
NONMMUG001607.2,Fus
NONMMUG001607.2,Tdp43
NONMMUG001607.2,Celf1
NONMMUG001610.2,Upf1
NONMMUG001610.2,Fus
NONMMUG001610.2,Tdp43
NONMMUG001613.2,FMRP
NONMMUG001613.2,Fus
NONMMUG001613.2,PABP1
NONMMUG001613.2,RFOX2
NONMMUG001614.2,Fus
NONMMUG001614.2,Tdp43
NONMMUG001619.2,Tdp43
NONMMUG001619.2,FMRP
NONMMUG001622.2,Tdp43
NONMMUG001623.2,Tardbp
NONMMUG001623.2,Fus
NONMMUG001623.2,Tdp43
NONMMUG001624.2,Fus
NONMMUG001624.2,Tdp43
NONMMUG047295.1,Fus
NONMMUG001625.2,Tdp43
NONMMUG001625.2,Fus
NONMMUG001626.2,Fus
NONMMUG001626.2,Tdp43
NONMMUG001627.2,Fus
NONMMUG001628.2,Tdp43
NONMMUG001628.2,Fus
NONMMUG001630.2,Tardbp
NONMMUG001630.2,Tdp43
