l_ID,p_ID
l00181,p02
l00181,p01
l00182,p02
l00182,p01
l00183,p02
l00184,p02
l00184,p01
l00185,p02
l00185,p01
l00186,p02
l00186,p01
l00187,p02
l00187,p01
l00188,p02
l00188,p01
l00189,p02
l00189,p01
l00190,p01
l00190,p02
l00191,p01
l00191,p02
l00192,p01
l00192,p02
l00193,p02
l00193,p01
l00194,p02
l00194,p01
l00195,p00
l00195,p01
l00195,p02
l00196,p01
l00196,p02
l00197,p02
l00197,p01
l00198,p02
l00198,p01
l00199,p02
l00200,p02
l00200,p01
l00201,p02
l00201,p01
l00202,p02
l00202,p01
l00203,p01
l00203,p02
l00204,p02
l00204,p01
l00205,p02
l00205,p01
l00206,p01
l00206,p02
l00207,p01
l00207,p02
l00208,p02
l00208,p01
l00209,p02
l00209,p01
l00210,p02
l00210,p01
l00211,p02
l00211,p01
l00212,p01
l00212,p02
l00213,p02
l00213,p01
l00214,p01
l00214,p02
l00215,p01
l00215,p02
l00216,p02
l00216,p01
l00217,p02
l00217,p01
l00218,p01
l00218,p02
l00219,p01
l00219,p02
l00220,p02
l00220,p01
l00221,p02
l00221,p01
l00222,p02
l00222,p01
l00223,p01
l00223,p02
l00224,p01
l00224,p02
l00225,p01
l00225,p02
l00226,p02
l00226,p01
l00227,p02
l00227,p01
l00228,p01
l00228,p02
l00229,p02
l00229,p01
l00230,p02
l00230,p01
l00231,p02
l00231,p01
l00232,p01
l00232,p02
l00233,p02
l00234,p02
l00235,p02
l00235,p01
l00236,p02
l00236,p01
l00237,p02
l00237,p01
l00238,p02
l00238,p01
l00238,p06
l00239,p02
l00239,p01
l00240,p01
l00240,p02
l00241,p02
l00241,p01
l00242,p02
l00243,p01
l00243,p02
l00244,p02
l00244,p01
l00245,p02
l00245,p01
l00246,p02
l00246,p01
l00247,p01
l00247,p02
l00247,p06
l00248,p02
l00248,p01
l00249,p01
l00249,p02
l00250,p02
l00250,p01
l00251,p02
l00251,p01
l00252,p02
l00252,p01
l00253,p02
l00253,p01
l00254,p02
l00254,p01
l00255,p02
l00255,p01
l00255,p00
l00256,p02
l00256,p01
l00257,p02
l00257,p01
l00258,p01
l00258,p00
l00259,p01
l00260,p01
l00261,p02
l00261,p01
l00262,p01
l00262,p02
l00263,p02
l00263,p01
l00263,p05
l00264,p01
l00265,p01
l00266,p11
l00266,p13
l00267,p01
l00267,p02
l00268,p02
l00268,p01
l00269,p02
l00269,p01
l00270,p04
l00270,p02
l00270,p01
l00271,p04
l00271,p02
l00271,p01
l00272,p01
l00272,p02
l00273,p03
l00274,p00
l00274,p08
l00274,p01
l00274,p02
l00274,p06
l00275,p01
l00275,p02
l00276,p06
l00277,p01
l00277,p00
l00277,p02
l00278,p01
l00279,p02
l00280,p02
l00281,p01
l00281,p02
l00282,p00
l00282,p04
l00282,p01
l00283,p00
l00283,p01
l00284,p01
l00285,p03
l00285,p02
l00285,p01
l00286,p02
l00286,p01
l00286,p05
l00287,p02
l00287,p01
l00288,p04
l00288,p02
l00288,p05
l00288,p01
l00289,p02
l00289,p01
l00289,p03
l00289,p00
l00289,p04
l00289,p08
l00290,p02
l00290,p01
l00291,p02
l00291,p01
l00292,p02
l00292,p01
l00293,p02
l00293,p01
l00294,p00
l00295,p00
l00295,p01
l00295,p05
l00295,p02
l00296,p02
l00296,p01
l00297,p01
l00298,p02
l00299,p02
l00300,p02
l00300,p01
l00301,p01
l00302,p01
l00302,p02
l00303,p01
l00304,p02
l00304,p01
l00305,p02
l00306,p02
l00307,p06
l00307,p01
l00308,p14
l00308,p17
l00308,p15
l00309,p14
l00309,p17
l00309,p15
l00310,p00
l00310,p01
l00310,p14
l00310,p02
l00310,p31
l00310,p17
l00310,p15
l00311,p14
l00312,p14
l00313,p02
l00313,p01
l00313,p14
l00313,p00
l00313,p15
l00313,p32
l00313,p31
l00313,p20
l00313,p33
l00313,p34
l00313,p19
l00313,p16
l00313,p22
l00313,p17
l00313,p12
l00314,p02
l00314,p01
l00314,p14
l00315,p02
l00315,p01
l00316,p31
l00316,p15
l00317,p01
l00317,p02
l00317,p16
l00317,p32
l00318,p01
l00319,p05
l00319,p02
l00319,p06
l00319,p01
l00320,p06
l00320,p02
l00320,p01
l00321,p02
l00321,p01
l00321,p06
l00322,p01
l00322,p06
l00323,p15
l00323,p17
l00323,p10
l00324,p02
l00325,p01
l00326,p01
l00326,p02
l00326,p05
l00326,p09
l00326,p06
l00327,p04
l00327,p02
l00327,p01
l00328,p07
l00328,p02
l00328,p01
l00329,p00
l00329,p02
l00329,p01
l00330,p02
l00331,p00
l00331,p02
l00331,p01
l00332,p02
l00332,p06
l00333,p00
l00333,p02
l00333,p01
l00334,p02
l00335,p03
l00335,p00
l00335,p02
l00335,p06
l00335,p05
l00335,p01
l00335,p09
l00336,p00
l00336,p07
l00336,p02
l00336,p01
l00337,p00
l00337,p02
l00337,p01
l00338,p01
l00338,p02
l00339,p02
l00339,p06
l00339,p01
l00339,p05
l00339,p12
l00339,p14
l00339,p13
l00339,p00
l00339,p33
l00339,p34
l00339,p19
l00339,p15
l00339,p26
l00339,p25
l00339,p17
l00340,p00
l00340,p02
l00340,p01
l00341,p00
l00341,p02
l00341,p01
l00342,p01
l00343,p00
l00344,p00
l00344,p01
l00345,p00
l00346,p01
l00346,p02
l00347,p01
l00347,p02
l00347,p14
l00348,p02
l00349,p02
l00350,p00
l00350,p02
l00350,p01
l00351,p00
l00351,p02
l00351,p01
l00351,p05
l00351,p31
l00351,p14
l00351,p10
l00351,p12
l00351,p16
l00351,p33
l00351,p34
l00351,p19
l00352,p00
l00352,p02
l00352,p01
l00352,p05
l00353,p00
l00353,p02
l00353,p05
l00353,p01
l00353,p31
l00353,p14
l00353,p10
l00353,p12
l00354,p00
l00354,p01
l00354,p02
l00354,p06
l00355,p02
l00356,p02
l00356,p01
l00357,p02
l00357,p01
l00357,p00
l00358,p02
l00358,p01
l00359,p00
l00359,p02
l00360,p02
l00360,p01
l00361,p02
l00362,p02
l00362,p01
l00363,p01
l00363,p02
l00364,p01
l00364,p02
l00365,p03
l00365,p00
l00365,p01
l00365,p02
l00365,p18
l00366,p06
l00367,p03
l00367,p00
l00367,p02
l00367,p06
l00367,p01
l00367,p05
l00367,p09
l00368,p02
l00368,p01
l00369,p01
l00369,p02
l00369,p05
l00369,p06
l00370,p01
l00370,p02
l00371,p01
l00371,p02
l00371,p05
l00371,p06
l00371,p09
l00372,p00
l00372,p02
l00372,p01
l00373,p00
l00373,p02
l00373,p01
l00374,p01
l00374,p02
l00374,p05
l00375,p03
l00375,p00
l00375,p09
l00375,p06
l00375,p02
l00375,p05
