tarName,p_ID
Upf1,p00
Tdp43,p01
Fus,p02
JARID2,p03
Tardbp,p04
Celf1,p05
FMRP,p06
Mbnl1,p07
Nova1,p08
PABPC1,p09
PABP1,p10
TIA1,p11
TTP,p12
PSPC1,p13
RFOX2,p14
Pou5f1,p15
SFPQ,p16
TYY1,p17
Ezh2,p18
AGO2,p19
SUZ12,p20
RBM10,p21
VIGLN,p22
KPYM,p23
EED,p24
FMR1,p25
QKI,p26
MSI2H,p27
Elavl1,p28
Coilin,p29
Rbfox3,p30
DAZL,p31
Ptbp2,p32
AGO4,p33
AGO1,p34
Cpsf6,p35
-,p36
Mbnl2,p37
Mbnl3,p38
PKR,p39
CBX7,p40
RANBP9,p41
FUS,p42
