NoncodeGeneID,LncbookGeneID,l_ID
-,HSALNG0000519,l00176
-,HSALNG0000523,l00177
NONHSAG057463.1,HSALNG0000542,l00178
-,HSALNG0000544,l00179
-,HSALNG0000547,l00180
NONHSAG000256.2,HSALNG0000548,l00181
-,HSALNG0141660,l00182
NONHSAG057464.1,HSALNG0000550,l00183
-,HSALNG0000554,l00184
-,HSALNG0000555,l00185
NONHSAG000259.2,HSALNG0000556,l00186
-,HSALNG0000559,l00187
-,HSALNG0000560,l00188
NONHSAG000264.2,HSALNG0000563,l00189
-,HSALNG0000565,l00190
-,HSALNG0000566,l00191
-,HSALNG0000569,l00192
-,HSALNG0000570,l00193
-,HSALNG0000572,l00194
NONHSAG105277.1,HSALNG0000578,l00195
-,HSALNG0142100,l00196
-,HSALNG0000579,l00197
-,HSALNG0000582,l00198
-,HSALNG0000594,l00199
NONHSAG000279.2,HSALNG0000595,l00200
-,HSALNG0000603,l00201
-,HSALNG0000604,l00202
NONHSAG104787.1,HSALNG0000605,l00203
-,HSALNG0000606,l00204
-,HSALNG0000607,l00205
-,HSALNG0000617,l00206
-,HSALNG0000618,l00207
-,HSALNG0000619,l00208
-,HSALNG0000622,l00209
-,HSALNG0000626,l00210
-,HSALNG0000634,l00211
-,HSALNG0141665,l00212
NONHSAG056109.1,HSALNG0000635,l00213
-,HSALNG0000636,l00214
-,HSALNG0142104,l00215
-,HSALNG0000640,l00216
-,HSALNG0000642,l00217
-,HSALNG0000643,l00218
-,HSALNG0000644,l00219
NONHSAG105280.1,HSALNG0000645,l00220
NONHSAG056112.1,HSALNG0000646,l00221
NONHSAG057477.1,HSALNG0000648,l00222
-,HSALNG0000652,l00223
NONHSAG000302.3,HSALNG0000660,l00224
-,HSALNG0141669,l00225
-,HSALNG0000675,l00226
NONHSAG000307.2,HSALNG0000676,l00227
NONHSAG057478.1,HSALNG0000677,l00228
-,HSALNG0000682,l00229
-,HSALNG0000681,l00230
-,HSALNG0000684,l00231
-,HSALNG0000685,l00232
-,HSALNG0000686,l00233
-,HSALNG0000694,l00234
-,HSALNG0000696,l00235
-,HSALNG0000697,l00236
-,HSALNG0000702,l00237
NONHSAG057481.1,HSALNG0000706,l00238
NONHSAG000320.2,HSALNG0000708,l00239
-,HSALNG0000709,l00240
NONHSAG057483.1,HSALNG0142109,l00241
NONHSAG056117.1,HSALNG0000718,l00242
NONHSAG000322.3,HSALNG0000719,l00243
-,HSALNG0000720,l00244
-,HSALNG0000728,l00245
-,HSALNG0000733,l00246
NONHSAG000328.2,HSALNG0000732,l00247
-,HSALNG0000736,l00248
-,HSALNG0000737,l00249
NONHSAG000331.2,HSALNG0000739,l00250
-,HSALNG0000740,l00251
NONHSAG000334.2,HSALNG0000742,l00252
NONHSAG000335.2,HSALNG0000743,l00253
-,HSALNG0000748,l00254
-,HSALNG0000760,l00255
NONHSAG057488.2,HSALNG0000761,l00256
-,HSALNG0000763,l00257
NONHSAG057491.1,HSALNG0000769,l00258
NONHSAG000345.2,HSALNG0000772,l00259
NONHSAG000346.2,HSALNG0000777,l00260
NONHSAG057493.1,HSALNG0000778,l00261
-,HSALNG0000782,l00262
-,HSALNG0000837,l00263
NONHSAG056141.1,HSALNG0000839,l00264
-,HSALNG0000842,l00265
-,HSALNG0000843,l00266
-,HSALNG0000844,l00267
-,HSALNG0000845,l00268
-,HSALNG0000847,l00269
NONHSAG000363.2,HSALNG0000851,l00270
-,HSALNG0000859,l00271
-,HSALNG0000862,l00272
-,HSALNG0000865,l00273
NONHSAG000368.2,HSALNG0000866,l00274
-,HSALNG0000876,l00275
-,HSALNG0000883,l00276
-,HSALNG0000884,l00277
-,HSALNG0141675,l00278
-,HSALNG0000893,l00279
NONHSAG105295.1,HSALNG0000894,l00280
-,HSALNG0000895,l00281
NONHSAG000381.2,HSALNG0000898,l00282
-,HSALNG0000899,l00283
NONHSAG000383.2,HSALNG0000901,l00284
-,HSALNG0000905,l00285
-,HSALNG0000903,l00286
-,HSALNG0142111,l00287
NONHSAG056154.1,HSALNG0000904,l00288
-,HSALNG0000911,l00289
NONHSAG105296.1,HSALNG0000912,l00290
-,HSALNG0000914,l00291
-,HSALNG0142112,l00292
NONHSAG000387.2,HSALNG0000915,l00293
-,HSALNG0000917,l00294
-,HSALNG0000926,l00295
NONHSAG000392.2,HSALNG0000927,l00296
-,HSALNG0142115,l00297
-,HSALNG0000940,l00298
-,HSALNG0000942,l00299
-,HSALNG0000943,l00300
-,HSALNG0142116,l00301
-,HSALNG0000949,l00302
NONHSAG057513.1,HSALNG0000950,l00303
-,HSALNG0000958,l00304
-,HSALNG0000974,l00305
-,HSALNG0000986,l00306
-,HSALNG0141679,l00307
-,HSALNG0000988,l00308
NONHSAG000415.2,HSALNG0000995,l00309
-,HSALNG0001003,l00310
-,HSALNG0001012,l00311
NONHSAG000417.2,HSALNG0001013,l00312
NONHSAG000418.2,HSALNG0001015,l00313
-,HSALNG0001019,l00314
-,HSALNG0001020,l00315
NONHSAG000423.2,HSALNG0001021,l00316
NONHSAG104806.1,HSALNG0001022,l00317
NONHSAG104807.1,HSALNG0001023,l00318
-,HSALNG0001034,l00319
NONHSAG105301.1,HSALNG0001038,l00320
-,HSALNG0001056,l00321
NONHSAG105302.1,HSALNG0001057,l00322
-,HSALNG0001064,l00323
-,HSALNG0001065,l00324
-,HSALNG0001066,l00325
NONHSAG000431.2,HSALNG0001067,l00326
NONHSAG057529.1,HSALNG0001068,l00327
-,HSALNG0001071,l00328
-,HSALNG0001073,l00329
-,HSALNG0001089,l00330
NONHSAG057533.1,HSALNG0001087,l00331
-,HSALNG0001091,l00332
-,HSALNG0001092,l00333
-,HSALNG0001099,l00334
-,HSALNG0001105,l00335
-,HSALNG0001107,l00336
-,HSALNG0001110,l00337
-,HSALNG0001112,l00338
NONHSAG056175.1,HSALNG0001113,l00339
-,HSALNG0001115,l00340
-,HSALNG0142122,l00341
NONHSAG104809.1,HSALNG0001118,l00342
NONHSAG104810.1,HSALNG0001119,l00343
-,HSALNG0001120,l00344
-,HSALNG0001121,l00345
-,HSALNG0001133,l00346
-,HSALNG0001134,l00347
-,HSALNG0001147,l00348
-,HSALNG0001148,l00349
-,HSALNG0001149,l00350
NONHSAG000465.2,HSALNG0001153,l00351
-,HSALNG0001156,l00352
-,HSALNG0001158,l00353
-,HSALNG0001160,l00354
-,HSALNG0001166,l00355
NONHSAG000468.2,HSALNG0001167,l00356
NONHSAG057541.1,HSALNG0001168,l00357
NONHSAG000472.2,HSALNG0001173,l00358
-,HSALNG0001174,l00359
NONHSAG000473.2,HSALNG0141680,l00360
-,HSALNG0001177,l00361
-,HSALNG0001179,l00362
-,HSALNG0001180,l00363
-,HSALNG0001183,l00364
-,HSALNG0001209,l00365
-,HSALNG0001185,l00366
-,HSALNG0001188,l00367
-,HSALNG0001189,l00368
-,HSALNG0001196,l00369
-,HSALNG0001197,l00370
-,HSALNG0001198,l00371
-,HSALNG0001199,l00372
-,HSALNG0142125,l00373
NONHSAG057544.1,HSALNG0001201,l00374
-,HSALNG0001202,l00375
NONHSAG000486.2,HSALNG0001203,l00376
-,HSALNG0142126,l00377
-,HSALNG0001210,l00378
-,HSALNG0001212,l00379
NONHSAG000489.2,HSALNG0001215,l00380
NONHSAG000490.2,HSALNG0001216,l00381
-,HSALNG0001229,l00382
-,HSALNG0001230,l00383
-,HSALNG0001232,l00384
-,HSALNG0001233,l00385
-,HSALNG0001237,l00386
NONHSAG000501.2,HSALNG0001240,l00387
NONHSAG000505.2,HSALNG0001250,l00388
NONHSAG000506.2,HSALNG0001251,l00389
-,HSALNG0001259,l00390
NONHSAG105316.1,HSALNG0001260,l00391
-,HSALNG0001268,l00392
NONHSAG000512.2,HSALNG0001269,l00393
-,HSALNG0001273,l00394
-,HSALNG0001274,l00395
NONHSAG056188.1,HSALNG0001279,l00396
-,HSALNG0001287,l00397
-,HSALNG0001299,l00398
-,HSALNG0001300,l00399
NONHSAG000522.2,HSALNG0001302,l00400
-,HSALNG0001306,l00401
NONHSAG000525.2,HSALNG0001313,l00402
-,HSALNG0001315,l00403
-,HSALNG0001324,l00404
-,HSALNG0001334,l00405
-,HSALNG0001365,l00406
NONHSAG057558.1,HSALNG0001366,l00407
-,HSALNG0001368,l00408
-,HSALNG0001369,l00409
-,HSALNG0001374,l00410
NONHSAG000546.2,HSALNG0001380,l00411
-,HSALNG0141687,l00412
-,HSALNG0141688,l00413
-,HSALNG0001382,l00414
-,HSALNG0001385,l00415
-,HSALNG0001387,l00416
-,HSALNG0001389,l00417
-,HSALNG0001390,l00418
-,HSALNG0001400,l00419
NONHSAG057560.1,HSALNG0001401,l00420
NONHSAG000554.2,HSALNG0141689,l00421
NONHSAG000557.2,HSALNG0001408,l00422
NONHSAG000559.2,HSALNG0001411,l00423
NONHSAG057562.1,HSALNG0001412,l00424
NONHSAG104823.1,HSALNG0001413,l00425
NONHSAG000560.2,HSALNG0001414,l00426
-,HSALNG0001417,l00427
-,HSALNG0001418,l00428
NONHSAG105319.1,HSALNG0001419,l00429
-,HSALNG0001422,l00430
-,HSALNG0001423,l00431
NONHSAG057564.1,HSALNG0001426,l00432
-,HSALNG0001427,l00433
-,HSALNG0001428,l00434
-,HSALNG0001432,l00435
NONHSAG000572.3,HSALNG0001434,l00436
NONHSAG000573.3,HSALNG0001435,l00437
NONHSAG057566.1,HSALNG0001436,l00438
NONHSAG000574.2,HSALNG0001437,l00439
-,HSALNG0001443,l00440
NONHSAG000578.3,HSALNG0001444,l00441
-,HSALNG0001461,l00442
-,HSALNG0001460,l00443
-,HSALNG0001465,l00444
-,HSALNG0001468,l00445
-,HSALNG0001470,l00446
NONHSAG000586.2,HSALNG0001474,l00447
-,HSALNG0001479,l00448
-,HSALNG0001493,l00449
-,HSALNG0001494,l00450
-,HSALNG0001495,l00451
-,HSALNG0141694,l00452
NONHSAG000596.2,HSALNG0001496,l00453
-,HSALNG0001497,l00454
-,HSALNG0001498,l00455
-,HSALNG0142133,l00456
NONHSAG000599.2,HSALNG0001509,l00457
-,HSALNG0001513,l00458
-,HSALNG0001515,l00459
NONHSAG056216.1,HSALNG0001516,l00460
-,HSALNG0001522,l00461
-,HSALNG0001524,l00462
-,HSALNG0001525,l00463
-,HSALNG0141695,l00464
-,HSALNG0001530,l00465
NONHSAG000611.2,HSALNG0001532,l00466
-,HSALNG0001533,l00467
NONHSAG105321.1,HSALNG0001535,l00468
-,HSALNG0001551,l00469
-,HSALNG0001554,l00470
-,HSALNG0001553,l00471
NONHSAG000628.2,HSALNG0001555,l00472
-,HSALNG0001557,l00473
-,HSALNG0001558,l00474
-,HSALNG0001563,l00475
-,HSALNG0001564,l00476
-,HSALNG0001565,l00477
-,HSALNG0001575,l00478
NONHSAG000636.2,HSALNG0001589,l00479
NONHSAG000638.2,HSALNG0001604,l00480
-,HSALNG0001605,l00481
NONHSAG000642.2,HSALNG0001614,l00482
-,HSALNG0001612,l00483
NONHSAG000643.2,HSALNG0001613,l00484
-,HSALNG0001619,l00485
NONHSAG000647.2,HSALNG0001618,l00486
NONHSAG105322.1,HSALNG0001620,l00487
-,HSALNG0001621,l00488
-,HSALNG0001624,l00489
NONHSAG000655.2,HSALNG0001631,l00490
-,HSALNG0001634,l00491
-,HSALNG0001636,l00492
-,HSALNG0001637,l00493
-,HSALNG0001641,l00494
-,HSALNG0001643,l00495
-,HSALNG0001642,l00496
NONHSAG057586.1,HSALNG0001644,l00497
-,HSALNG0001652,l00498
-,HSALNG0001654,l00499
-,HSALNG0001656,l00500
-,HSALNG0001657,l00501
-,HSALNG0001658,l00502
