NoncodeGeneID,LncbookGeneID,l_ID
-,HSALNG0000450,l000156
NONHSAG056091.1,HSALNG0000455,l000157
NONHSAG057456.1,HSALNG0000459,l000158
-,HSALNG0000460,l000159
-,HSALNG0000461,l000160
-,HSALNG0000463,l000161
-,HSALNG0000464,l000162
-,HSALNG0000465,l000163
NONHSAG000225.2,HSALNG0000478,l000164
-,HSALNG0000504,l000165
NONHSAG000228.2,HSALNG0000505,l000166
-,HSALNG0000506,l000167
-,HSALNG0142094,l000168
-,HSALNG0000507,l000169
-,HSALNG0000508,l000170
NONHSAG000233.2,HSALNG0000510,l000171
-,HSALNG0000511,l000172
NONHSAG057460.1,HSALNG0000513,l000173
NONHSAG056095.2,HSALNG0000514,l000174
NONHSAG000238.2,HSALNG0000515,l000175
-,HSALNG0000517,l000176
NONHSAG105276.1,HSALNG0000518,l000177
-,HSALNG0000519,l000178
-,HSALNG0000523,l000179
NONHSAG057463.1,HSALNG0000542,l000180
-,HSALNG0000544,l000181
-,HSALNG0000547,l000182
NONHSAG000256.2,HSALNG0000548,l000183
-,HSALNG0141660,l000184
NONHSAG057464.1,HSALNG0000550,l000185
-,HSALNG0000554,l000186
-,HSALNG0000555,l000187
NONHSAG000259.2,HSALNG0000556,l000188
-,HSALNG0000559,l000189
-,HSALNG0000560,l000190
NONHSAG000264.2,HSALNG0000563,l000191
-,HSALNG0000565,l000192
-,HSALNG0000566,l000193
-,HSALNG0000569,l000194
-,HSALNG0000570,l000195
-,HSALNG0000572,l000196
NONHSAG105277.1,HSALNG0000578,l000197
-,HSALNG0142100,l000198
-,HSALNG0000579,l000199
-,HSALNG0000582,l000200
-,HSALNG0000594,l000201
NONHSAG000279.2,HSALNG0000595,l000202
-,HSALNG0000603,l000203
-,HSALNG0000604,l000204
NONHSAG104787.1,HSALNG0000605,l000205
-,HSALNG0000606,l000206
-,HSALNG0000607,l000207
-,HSALNG0000617,l000208
-,HSALNG0000618,l000209
-,HSALNG0000619,l000210
-,HSALNG0000622,l000211
-,HSALNG0000626,l000212
-,HSALNG0000634,l000213
-,HSALNG0141665,l000214
NONHSAG056109.1,HSALNG0000635,l000215
-,HSALNG0000636,l000216
-,HSALNG0142104,l000217
-,HSALNG0000640,l000218
-,HSALNG0000642,l000219
-,HSALNG0000643,l000220
-,HSALNG0000644,l000221
NONHSAG105280.1,HSALNG0000645,l000222
NONHSAG056112.1,HSALNG0000646,l000223
NONHSAG057477.1,HSALNG0000648,l000224
-,HSALNG0000652,l000225
NONHSAG000302.3,HSALNG0000660,l000226
-,HSALNG0141669,l000227
-,HSALNG0000675,l000228
NONHSAG000307.2,HSALNG0000676,l000229
NONHSAG057478.1,HSALNG0000677,l000230
-,HSALNG0000682,l000231
-,HSALNG0000681,l000232
-,HSALNG0000684,l000233
-,HSALNG0000685,l000234
-,HSALNG0000686,l000235
-,HSALNG0000694,l000236
-,HSALNG0000696,l000237
-,HSALNG0000697,l000238
-,HSALNG0000702,l000239
NONHSAG057481.1,HSALNG0000706,l000240
NONHSAG000320.2,HSALNG0000708,l000241
-,HSALNG0000709,l000242
NONHSAG057483.1,HSALNG0142109,l000243
NONHSAG056117.1,HSALNG0000718,l000244
NONHSAG000322.3,HSALNG0000719,l000245
-,HSALNG0000720,l000246
-,HSALNG0000728,l000247
-,HSALNG0000733,l000248
NONHSAG000328.2,HSALNG0000732,l000249
-,HSALNG0000736,l000250
-,HSALNG0000737,l000251
NONHSAG000331.2,HSALNG0000739,l000252
-,HSALNG0000740,l000253
NONHSAG000334.2,HSALNG0000742,l000254
NONHSAG000335.2,HSALNG0000743,l000255
-,HSALNG0000748,l000256
-,HSALNG0000760,l000257
NONHSAG057488.2,HSALNG0000761,l000258
-,HSALNG0000763,l000259
NONHSAG057491.1,HSALNG0000769,l000260
NONHSAG000345.2,HSALNG0000772,l000261
NONHSAG000346.2,HSALNG0000777,l000262
NONHSAG057493.1,HSALNG0000778,l000263
-,HSALNG0000782,l000264
-,HSALNG0000837,l000265
NONHSAG056141.1,HSALNG0000839,l000266
-,HSALNG0000842,l000267
-,HSALNG0000843,l000268
-,HSALNG0000844,l000269
-,HSALNG0000845,l000270
-,HSALNG0000847,l000271
NONHSAG000363.2,HSALNG0000851,l000272
-,HSALNG0000859,l000273
-,HSALNG0000862,l000274
-,HSALNG0000865,l000275
NONHSAG000368.2,HSALNG0000866,l000276
-,HSALNG0000876,l000277
-,HSALNG0000883,l000278
-,HSALNG0000884,l000279
-,HSALNG0141675,l000280
-,HSALNG0000893,l000281
NONHSAG105295.1,HSALNG0000894,l000282
-,HSALNG0000895,l000283
NONHSAG000381.2,HSALNG0000898,l000284
-,HSALNG0000899,l000285
NONHSAG000383.2,HSALNG0000901,l000286
-,HSALNG0000905,l000287
-,HSALNG0000903,l000288
-,HSALNG0142111,l000289
NONHSAG056154.1,HSALNG0000904,l000290
-,HSALNG0000911,l000291
NONHSAG105296.1,HSALNG0000912,l000292
-,HSALNG0000914,l000293
-,HSALNG0142112,l000294
