NoncodeGeneID,LncbookGeneID,l_ID
NONHSAG044696.3,HSALNG0053017,l00135
NONHSAG044971.2,-,l00136
NONHSAG095813.2,HSALNG0053918,l00137
NONHSAG045141.2,-,l00138
NONHSAG045405.3,HSALNG0055124,l00139
NONHSAG047406.3,HSALNG0057380,l00140
NONHSAG096303.1,HSALNG0057476,l00141
NONHSAG097858.2,HSALNG0057684,l00142
NONHSAG048405.3,HSALNG0149755,l00143
NONHSAG048520.2,HSALNG0060436,l00144
NONHSAG048592.2,HSALNG0060701,l00145
NONHSAG003094.3,HSALNG0007538,l00146
NONHSAG048824.2,-,l00147
NONHSAG097818.2,HSALNG0057365,l00148
NONHSAG047443.2,HSALNG0057538,l00149
NONHSAG048263.2,HSALNG0059725,l00150
NONHSAG058264.2,HSALNG0008444,l00151
NONHSAG048530.2,HSALNG0060464,l00152
NONHSAG048840.2,HSALNG0061467,l00153
NONHSAG049197.2,HSALNG0062418,l00154
NONHSAG003563.3,HSALNG0008683,l00155
NONHSAG049792.2,HSALNG0064085,l00156
NONHSAG050802.3,HSALNG0067060,l00157
NONHSAG051204.3,HSALNG0068285,l00158
NONHSAG003677.3,HSALNG0008947,l00159
NONHSAG051516.3,HSALNG0069323,l00160
NONHSAG114208.1,HSALNG0069500,l00161
NONHSAG049334.3,-,l00162
NONHSAG049418.3,HSALNG0063139,l00163
NONHSAG049421.3,HSALNG0063153,l00164
NONHSAG049529.2,HSALNG0063410,l00165
NONHSAG049530.3,HSALNG0063414,l00166
NONHSAG049919.2,HSALNG0150378,l00167
NONHSAG050607.2,HSALNG0066527,l00168
NONHSAG050628.2,HSALNG0066585,l00169
NONHSAG050842.2,HSALNG0067185,l00170
NONHSAG051105.2,HSALNG0067998,l00171
NONHSAG051196.3,HSALNG0068270,l00172
NONHSAG101283.2,HSALNG0070868,l00173
NONHSAG052204.3,HSALNG0071146,l00174
NONHSAG052620.2,HSALNG0072071,l00175
NONHSAG052915.2,HSALNG0072948,l00176
NONHSAG053094.2,HSALNG0073409,l00177
NONHSAG101566.1,HSALNG0073454,l00178
NONHSAG101567.1,HSALNG0073459,l00179
NONHSAG053450.2,HSALNG0074417,l00180
NONHSAG053546.2,HSALNG0074635,l00181
NONHSAG101729.1,HSALNG0074639,l00182
NONHSAG102453.2,HSALNG0069642,l00183
NONHSAG004140.3,HSALNG0010128,l00184
NONHSAG052654.3,HSALNG0072156,l00185
NONHSAG102125.1,HSALNG0072649,l00186
NONHSAG053004.2,HSALNG0073160,l00187
NONHSAG053208.3,HSALNG0073754,l00188
NONHSAG053231.2,-,l00189
NONHSAG053761.2,HSALNG0075159,l00190
NONHSAG004247.3,HSALNG0010403,l00191
NONHSAG004270.2,-,l00192
NONHSAG058469.1,HSALNG0010565,l00193
NONHSAG054360.3,HSALNG0137651,l00194
NONHSAG055113.2,HSALNG0139555,l00195
NONHSAG103609.1,HSALNG0140423,l00196
NONHSAG058513.1,HSALNG0011004,l00197
NONHSAG055315.3,HSALNG0140165,l00198
NONHSAG055613.2,-,l00199
NONHSAG055863.2,HSALNG0141379,l00200
NONHSAG001438.3,HSALNG0003546,l00201
NONHSAG004569.2,HSALNG0142446,l00202
NONHSAG004797.2,HSALNG0011933,l00203
NONHSAG005499.3,HSALNG0076970,l00204
NONHSAG006244.2,HSALNG0078904,l00205
NONHSAG006339.2,HSALNG0079152,l00206
NONHSAG006406.2,HSALNG0079377,l00207
NONHSAG005269.2,HSALNG0076282,l00208
NONHSAG001774.3,HSALNG0004322,l00209
NONHSAG006187.2,HSALNG0078815,l00210
NONHSAG006189.2,-,l00211
NONHSAG006219.3,HSALNG0078868,l00212
NONHSAG006526.3,HSALNG0079677,l00213
NONHSAG006796.3,HSALNG0080427,l00214
NONHSAG006979.3,HSALNG0080995,l00215
NONHSAG007233.3,HSALNG0081843,l00216
NONHSAG062720.2,HSALNG0083346,l00217
NONHSAG008478.2,HSALNG0084532,l00218
NONHSAG009142.2,HSALNG0143028,l00219
NONHSAG007431.3,HSALNG0082235,l00220
NONHSAG008624.2,HSALNG0084814,l00221
NONHSAG009228.3,HSALNG0086125,l00222
NONHSAG009373.2,-,l00223
NONHSAG009700.3,-,l00224
NONHSAG009800.3,HSALNG0087606,l00225
NONHSAG064562.2,HSALNG0089050,l00226
NONHSAG010634.2,HSALNG0089698,l00227
NONHSAG011503.3,HSALNG0091856,l00228
NONHSAG106841.1,HSALNG0094493,l00229
NONHSAG012505.3,HSALNG0094500,l00230
NONHSAG010200.3,HSALNG0088600,l00231
NONHSAG010668.2,HSALNG0089823,l00232
NONHSAG065364.2,HSALNG0090059,l00233
NONHSAG010777.2,HSALNG0090090,l00234
NONHSAG011576.3,HSALNG0092070,l00235
NONHSAG012182.3,HSALNG0093754,l00236
NONHSAG002433.2,-,l00237
NONHSAG000536.3,HSALNG0001365,l00238
NONHSAG012899.3,-,l00239
NONHSAG013269.2,-,l00240
NONHSAG013349.3,HSALNG0096679,l00241
NONHSAG002552.2,HSALNG0006385,l00242
NONHSAG002553.2,HSALNG0006386,l00243
NONHSAG013847.3,HSALNG0098147,l00244
NONHSAG012900.2,HSALNG0095472,l00245
NONHSAG110797.1,HSALNG0131768,l00246
NONHSAG013038.2,-,l00247
NONHSAG013098.2,HSALNG0095998,l00248
NONHSAG107306.1,HSALNG0096225,l00249
