NoncodeGeneID,LncbookGeneID,l_ID
NONHSAG094231.2,HSALNG0050731,l000119
NONHSAG002086.3,HSALNG0005250,l000120
NONHSAG044089.2,-,l000121
NONHSAG044119.3,HSALNG0051217,l000122
NONHSAG094297.1,HSALNG0051431,l000123
NONHSAG044603.3,HSALNG0052769,l000124
NONHSAG044666.3,HSALNG0052934,l000125
NONHSAG093677.1,HSALNG0053968,l000126
NONHSAG045058.2,HSALNG0054069,l000127
NONHSAG002376.3,HSALNG0141832,l000128
NONHSAG002392.2,HSALNG0142263,l000129
NONHSAG094736.2,HSALNG0047394,l000130
NONHSAG042632.2,HSALNG0047432,l000131
NONHSAG042836.3,HSALNG0047687,l000132
NONHSAG042957.3,HSALNG0047891,l000133
NONHSAG044022.3,HSALNG0050864,l000134
NONHSAG095429.2,HSALNG0052066,l000135
NONHSAG002593.2,HSALNG0006500,l000136
NONHSAG044696.3,HSALNG0053017,l000137
NONHSAG044971.2,-,l000138
NONHSAG095813.2,HSALNG0053918,l000139
NONHSAG045141.2,-,l000140
NONHSAG045405.3,HSALNG0055124,l000141
NONHSAG047406.3,HSALNG0057380,l000142
NONHSAG096303.1,HSALNG0057476,l000143
NONHSAG097858.2,HSALNG0057684,l000144
NONHSAG048405.3,HSALNG0149755,l000145
NONHSAG048520.2,HSALNG0060436,l000146
NONHSAG048592.2,HSALNG0060701,l000147
NONHSAG003094.3,HSALNG0007538,l000148
NONHSAG048824.2,-,l000149
NONHSAG097818.2,HSALNG0057365,l000150
NONHSAG047443.2,HSALNG0057538,l000151
NONHSAG048263.2,HSALNG0059725,l000152
NONHSAG058264.2,HSALNG0008444,l000153
NONHSAG048530.2,HSALNG0060464,l000154
NONHSAG048840.2,HSALNG0061467,l000155
NONHSAG049197.2,HSALNG0062418,l000156
NONHSAG003563.3,HSALNG0008683,l000157
NONHSAG049792.2,HSALNG0064085,l000158
NONHSAG050802.3,HSALNG0067060,l000159
NONHSAG051204.3,HSALNG0068285,l000160
NONHSAG003677.3,HSALNG0008947,l000161
NONHSAG051516.3,HSALNG0069323,l000162
NONHSAG114208.1,HSALNG0069500,l000163
NONHSAG049334.3,-,l000164
NONHSAG049418.3,HSALNG0063139,l000165
NONHSAG049421.3,HSALNG0063153,l000166
NONHSAG049529.2,HSALNG0063410,l000167
NONHSAG049530.3,HSALNG0063414,l000168
NONHSAG049919.2,HSALNG0150378,l000169
NONHSAG050607.2,HSALNG0066527,l000170
NONHSAG050628.2,HSALNG0066585,l000171
NONHSAG050842.2,HSALNG0067185,l000172
NONHSAG051105.2,HSALNG0067998,l000173
NONHSAG051196.3,HSALNG0068270,l000174
NONHSAG101283.2,HSALNG0070868,l000175
NONHSAG052204.3,HSALNG0071146,l000176
NONHSAG052620.2,HSALNG0072071,l000177
NONHSAG052915.2,HSALNG0072948,l000178
NONHSAG053094.2,HSALNG0073409,l000179
NONHSAG101566.1,HSALNG0073454,l000180
NONHSAG101567.1,HSALNG0073459,l000181
NONHSAG053450.2,HSALNG0074417,l000182
NONHSAG053546.2,HSALNG0074635,l000183
NONHSAG101729.1,HSALNG0074639,l000184
NONHSAG102453.2,HSALNG0069642,l000185
NONHSAG004140.3,HSALNG0010128,l000186
NONHSAG052654.3,HSALNG0072156,l000187
